id_toma,periodo,fecha_emision,fecha_vencimiento,fecha_pago,pagado,consumo_m3,importe_agua,importe_alcantarillado,importe_saneamiento,total_pagar,domiciliado,tipo_tarifa,pago_tardio
T592985E849,2024-04,2024-04-25,2024-05-15,2024-05-07,True,32.0,406.0,40.6,48.72,495.32,False,domestico,False
T8CFD079CB6,2024-04,2024-04-26,2024-05-16,2024-05-12,True,16.3,225.45,22.55,27.05,275.05,False,domestico,False
TD10A6EDCA0,2024-04,2024-04-26,2024-05-16,2024-05-13,True,28.8,642.2,64.22,77.06,783.48,False,comercial,False
T0CE7987E4B,2024-04,2024-04-27,2024-05-17,2024-05-29,True,71.5,1453.5,145.35,174.42,1773.27,False,comercial,True
T0F12629295,2024-04,2024-04-22,2024-05-12,2024-05-09,True,3.4,77.1,7.71,9.25,94.06,False,domestico,False
T7833B36159,2024-04,2024-04-24,2024-05-14,2024-05-03,True,15.4,215.1,21.51,25.81,262.42,True,domestico,False
T997FF51E88,2024-04,2024-04-27,2024-05-17,2024-05-02,True,12.7,184.05,18.4,0.0,202.45,True,domestico,False
TB0AFAFC426,2024-04,2024-04-26,2024-05-16,2024-07-29,True,55.1,896.5,89.65,107.58,1093.73,False,publico,True
T4B2228F178,2024-04,2024-04-27,2024-05-17,2024-04-30,True,17.9,243.85,24.39,29.26,297.5,True,domestico,False
T5D1D63651A,2024-04,2024-04-28,2024-05-18,2024-06-03,True,17.9,243.85,24.39,29.26,297.5,False,domestico,True
T005A9CE174,2024-04,2024-04-25,2024-05-15,2024-04-29,True,14.0,199.0,19.9,23.88,242.78,True,domestico,False
T0E572DDC2C,2024-04,2024-04-26,2024-05-16,2024-04-27,True,12.3,179.45,0.0,21.53,200.98,False,domestico,False
T6B4C3EB33E,2024-04,2024-04-29,2024-05-19,2024-05-12,True,4.5,89.75,8.97,10.77,109.49,False,domestico,False
T98621FD0F2,2024-04,2024-04-24,2024-05-14,2024-05-06,True,0.0,260.0,26.0,31.2,317.2,False,industrial,False
TCED7759D69,2024-04,2024-04-26,2024-05-16,2024-05-11,True,18.2,247.3,0.0,29.68,276.98,False,domestico,False
T148BA00559,2024-04,2024-04-26,2024-05-16,2024-05-01,True,27.8,357.7,35.77,42.92,436.39,False,domestico,False
T8EF8382AF5,2024-04,2024-04-24,2024-05-14,2024-05-05,True,12.9,186.35,18.64,22.36,227.35,False,domestico,False
T294140BCEC,2024-04,2024-04-29,2024-05-19,2024-05-09,True,29.4,653.6,65.36,78.43,797.39,False,comercial,False
T2B4ECE5F7A,2024-04,2024-04-23,2024-05-13,2024-05-02,True,26.5,342.75,34.27,0.0,377.02,False,domestico,False
TFCDB644B38,2024-04,2024-04-26,2024-05-16,2024-04-29,True,23.3,305.95,30.59,36.71,373.26,True,domestico,False
TF46C85CB55,2024-04,2024-04-27,2024-05-17,2024-05-15,True,6.4,111.6,11.16,13.39,136.15,True,domestico,False
T635E7348B0,2024-04,2024-04-27,2024-05-17,2024-05-02,True,28.3,363.45,36.34,43.61,443.41,False,domestico,False
TD950C1321E,2024-04,2024-04-24,2024-05-14,2024-07-13,True,18.5,250.75,25.08,30.09,305.91,False,domestico,True
T79F7CA1313,2024-04,2024-04-27,2024-05-17,2024-05-04,True,8.1,131.15,13.11,0.0,144.26,False,domestico,False
T1890D0D69D,2024-04,2024-04-25,2024-05-15,2024-04-29,True,16.2,224.3,22.43,26.92,273.65,False,domestico,False
T92ED6C6BBC,2024-04,2024-04-25,2024-05-15,2024-05-09,True,8.0,130.0,13.0,15.6,158.6,False,domestico,False
T1A234D637E,2024-04,2024-04-27,2024-05-17,2024-05-07,True,16.7,230.05,23.0,0.0,253.05,False,domestico,False
T0FA07C2AE6,2024-04,2024-04-27,2024-05-17,2024-06-26,True,8.5,135.75,13.58,0.0,149.32,False,domestico,True
T85D9327E38,2024-04,2024-04-22,2024-05-12,2024-05-01,True,13.5,193.25,19.33,23.19,235.76,False,domestico,False
T9B2220E701,2024-04,2024-04-24,2024-05-14,2024-05-03,True,26.8,346.2,34.62,41.54,422.36,True,domestico,False
T75AE25B236,2024-04,2024-04-23,2024-05-13,2024-05-08,True,12.0,176.0,17.6,21.12,214.72,False,domestico,False
T85C4B9E9BD,2024-04,2024-04-29,2024-05-19,2024-05-15,True,6.5,112.75,11.28,13.53,137.56,False,domestico,False
TAAC46C752C,2024-04,2024-04-25,2024-05-15,2024-05-13,True,6.0,209.0,20.9,0.0,229.9,False,comercial,False
TB5ABA37301,2024-04,2024-04-23,2024-05-13,2024-05-05,True,18.6,251.9,25.19,30.23,307.32,False,domestico,False
TDB1931905E,2024-04,2024-04-26,2024-05-16,2024-06-24,True,12.4,180.6,18.06,21.67,220.33,False,domestico,True
T8A79BCF725,2024-04,2024-04-26,2024-05-16,2024-05-11,True,7.8,127.7,12.77,15.32,155.79,True,domestico,False
T1383BC162C,2024-04,2024-04-25,2024-05-15,2024-04-26,True,14.0,199.0,19.9,23.88,242.78,False,domestico,False
TE3F34F661C,2024-04,2024-04-25,2024-05-15,2024-05-13,True,61.6,1265.4,126.54,151.85,1543.79,False,comercial,False
T945DF5CC73,2024-04,2024-04-25,2024-05-15,2024-06-14,True,7.5,124.25,12.43,14.91,151.59,False,domestico,True
T89289351AD,2024-04,2024-04-26,2024-05-16,2024-05-07,True,0.0,38.0,0.0,4.56,42.56,True,domestico,False
T3C6A8E589D,2024-04,2024-04-28,2024-05-18,2024-05-07,True,28.2,630.8,63.08,75.7,769.58,False,comercial,False
T9EDB41553F,2024-04,2024-04-28,2024-05-18,2024-05-05,True,9.0,141.5,14.15,16.98,172.63,False,domestico,False
T39FECD2D40,2024-04,2024-04-25,2024-05-15,2024-04-30,True,18.9,255.35,25.54,30.64,311.53,False,domestico,False
T393F331539,2024-04,2024-04-27,2024-05-17,2024-05-06,True,12.2,178.3,17.83,21.4,217.53,False,domestico,False
T44E572D176,2024-04,2024-04-29,2024-05-19,2024-05-19,True,20.6,274.9,27.49,32.99,335.38,False,domestico,False
T6A0C9518A5,2024-04,2024-04-25,2024-05-15,2024-04-25,True,17.5,239.25,23.93,28.71,291.88,False,domestico,False
T6F6C091F32,2024-04,2024-04-27,2024-05-17,2024-05-11,True,13.8,196.7,19.67,23.6,239.97,False,domestico,False
T0A7DFC3903,2024-04,2024-04-26,2024-05-16,2024-05-06,True,23.1,303.65,30.37,36.44,370.45,False,domestico,False
T4CA807AAAE,2024-04,2024-04-23,2024-05-13,2024-07-23,True,38.2,820.8,82.08,98.5,1001.38,False,comercial,True
T292B036CC6,2024-04,2024-04-29,2024-05-19,2024-05-19,True,18.3,248.45,24.85,29.81,303.11,True,domestico,False
TF252236170,2024-04,2024-04-23,2024-05-13,2024-05-01,True,24.2,316.3,31.63,37.96,385.89,False,domestico,False
T47A88C447A,2024-04,2024-04-25,2024-05-15,2024-05-14,True,8.1,131.15,13.11,15.74,160.0,False,domestico,False
T29274E7656,2024-04,2024-04-27,2024-05-17,2024-04-29,True,0.0,38.0,3.8,4.56,46.36,True,domestico,False
TF94B3B4CEA,2024-04,2024-04-26,2024-05-16,2024-05-21,True,16.7,230.05,23.0,27.61,280.66,False,domestico,True
TD79C86593F,2024-04,2024-04-25,2024-05-15,2024-04-30,True,22.4,295.6,29.56,35.47,360.63,False,domestico,False
T042B2178D1,2024-04,2024-04-25,2024-05-15,2024-07-10,True,21.9,289.85,28.99,34.78,353.62,False,domestico,True
TE9E2B18053,2024-04,2024-04-27,2024-05-17,2024-04-28,True,51.3,1069.7,106.97,128.36,1305.03,False,comercial,False
T80D9A080BE,2024-04,2024-04-30,2024-05-20,2024-05-09,True,41.5,883.5,88.35,106.02,1077.87,False,comercial,False
T580C1D0E5A,2024-04,2024-04-27,2024-05-17,2024-05-10,True,58.3,1202.7,120.27,144.32,1467.29,False,comercial,False
T262047037E,2024-04,2024-04-25,2024-05-15,2024-07-08,True,17.7,241.55,0.0,28.99,270.54,False,domestico,True
T997FBB56CB,2024-04,2024-04-22,2024-05-12,2024-05-12,True,17.1,234.65,23.47,28.16,286.27,False,domestico,False
T488907BADA,2024-04,2024-04-28,2024-05-18,2024-05-14,True,22.5,296.75,29.68,35.61,362.04,False,domestico,False
T959B664297,2024-04,2024-04-23,2024-05-13,2024-05-13,True,13.9,197.85,19.79,23.74,241.38,False,domestico,False
TCE4FA87780,2024-04,2024-04-27,2024-05-17,2024-05-15,True,11.5,170.25,17.03,20.43,207.71,False,domestico,False
T6A6F416B64,2024-04,2024-04-27,2024-05-17,2024-05-10,True,14.5,204.75,20.48,24.57,249.79,False,domestico,False
T5C22EC11B8,2024-04,2024-04-25,2024-05-15,2024-05-14,True,48.0,1007.0,100.7,0.0,1107.7,True,comercial,False
T132EB7CE2B,2024-04,2024-04-22,2024-05-12,2024-05-03,True,13.1,188.65,18.87,22.64,230.15,False,domestico,False
T011F73020E,2024-04,2024-04-28,2024-05-18,2024-05-15,True,24.5,319.75,31.98,38.37,390.1,False,domestico,False
T0197678D11,2024-04,2024-04-26,2024-05-16,2024-07-10,True,38.1,818.9,81.89,98.27,999.06,False,comercial,True
TBA58CFEBC6,2024-04,2024-04-26,2024-05-16,2024-05-14,True,22.7,526.3,52.63,63.16,642.09,False,comercial,False
T78A401EEAD,2024-04,2024-04-27,2024-05-17,2024-06-23,True,20.7,276.05,27.6,0.0,303.65,False,domestico,True
TE33F90B286,2024-04,2024-04-22,2024-05-12,2024-07-13,True,15.8,219.7,21.97,26.36,268.03,True,domestico,True
T761C9E26E6,2024-04,2024-04-30,2024-05-20,2024-05-08,True,0.0,38.0,3.8,4.56,46.36,False,domestico,False
T65187CE62C,2024-04,2024-04-26,2024-05-16,2024-05-06,True,40.5,677.5,67.75,81.3,826.55,False,publico,False
T6DD4962896,2024-04,2024-04-24,2024-05-14,2024-05-13,True,13.5,193.25,19.33,23.19,235.76,False,domestico,False
T57E5EAB9B8,2024-04,2024-04-26,2024-05-16,2024-05-07,True,11.3,167.95,16.8,0.0,184.75,False,domestico,False
T0D1C506545,2024-04,2024-04-27,2024-05-17,,True,12.3,179.45,17.95,21.53,218.93,True,domestico,False
T16385BC409,2024-04,2024-04-22,2024-05-12,2024-06-28,True,10.1,154.15,15.41,0.0,169.56,False,domestico,True
T703E749B16,2024-04,2024-04-29,2024-05-19,2024-05-04,True,13.2,189.8,18.98,22.78,231.56,False,domestico,False
TE03815B898,2024-04,2024-04-26,2024-05-16,2024-05-21,True,25.1,326.65,32.67,0.0,359.32,False,domestico,True
T5EDC8CD764,2024-04,2024-04-29,2024-05-19,2024-06-09,True,12.8,185.2,18.52,0.0,203.72,False,domestico,True
T8A0E42EA46,2024-04,2024-04-24,2024-05-14,2024-04-29,True,13.6,194.4,19.44,0.0,213.84,True,domestico,False
T58E4665FE8,2024-04,2024-04-30,2024-05-20,2024-05-03,True,24.7,322.05,32.21,38.65,392.9,False,domestico,False
T45A3829C6C,2024-04,2024-04-28,2024-05-18,2024-05-08,True,16.6,228.9,22.89,27.47,279.26,False,domestico,False
T0F2B41D96D,2024-04,2024-04-28,2024-05-18,2024-05-03,True,35.0,760.0,76.0,91.2,927.2,False,comercial,False
T45E4DAC832,2024-04,2024-04-24,2024-05-14,2024-05-05,True,14.6,205.9,20.59,0.0,226.49,True,domestico,False
TB308B5DC7A,2024-04,2024-04-23,2024-05-13,2024-05-12,True,15.2,212.8,21.28,25.54,259.62,False,domestico,False
T5A52BDFD5B,2024-04,2024-04-22,2024-05-12,2024-04-24,True,7.1,119.65,11.96,14.36,145.97,True,domestico,False
T3B6195226D,2024-04,2024-04-23,2024-05-13,2024-05-21,True,22.6,297.9,29.79,0.0,327.69,False,domestico,True
TEF3ACC364D,2024-04,2024-04-28,2024-05-18,2024-05-14,True,14.2,201.3,20.13,24.16,245.59,False,domestico,False
T0E3944E1C7,2024-04,2024-04-24,2024-05-14,2024-05-04,True,19.0,256.5,25.65,30.78,312.93,True,domestico,False
TC5E02C2AE1,2024-04,2024-04-26,2024-05-16,2024-05-11,True,5.1,96.65,9.67,11.6,117.91,True,domestico,False
T9C181CA6B2,2024-04,2024-04-24,2024-05-14,2024-05-07,True,16.4,226.6,22.66,27.19,276.45,False,domestico,False
T46D0D9FE06,2024-04,2024-04-26,2024-05-16,2024-06-06,True,15.8,219.7,21.97,26.36,268.03,False,domestico,True
T3763EE0258,2024-04,2024-04-23,2024-05-13,2024-04-27,True,11.2,166.8,16.68,20.02,203.5,True,domestico,False
TB6793708AF,2024-04,2024-04-27,2024-05-17,2024-05-14,True,7.5,124.25,12.43,14.91,151.59,False,domestico,False
T02BF3919B7,2024-04,2024-04-28,2024-05-18,2024-05-12,True,11.3,167.95,16.8,20.15,204.9,True,domestico,False
T61903D0C08,2024-04,2024-04-29,2024-05-19,2024-05-17,True,10.6,159.9,15.99,19.19,195.08,False,domestico,False
T1540962193,2024-04,2024-04-26,2024-05-16,,True,84.7,2462.2,0.0,295.46,2757.66,False,industrial,False
TE8DF4BFC62,2024-04,2024-04-26,2024-05-16,2024-05-02,True,45.8,965.2,96.52,115.82,1177.54,False,comercial,False
T97A5E4F98E,2024-04,2024-04-28,2024-05-18,2024-05-29,True,18.1,246.15,24.62,29.54,300.3,False,domestico,True
TB2B631F6DE,2024-04,2024-04-25,2024-05-15,2024-04-27,True,0.0,38.0,3.8,4.56,46.36,False,domestico,False
TFD4476DD46,2024-04,2024-04-29,2024-05-19,2024-05-11,True,32.8,415.2,41.52,49.82,506.54,False,domestico,False
T63AE43B763,2024-04,2024-04-27,2024-05-17,2024-07-19,True,24.7,322.05,32.21,38.65,392.9,False,domestico,True
TF7E0F3ADFA,2024-04,2024-04-24,2024-05-14,2024-07-16,True,0.0,38.0,3.8,4.56,46.36,False,domestico,True
T9F3D4A99A8,2024-04,2024-04-22,2024-05-12,2024-04-28,True,4.8,93.2,9.32,11.18,113.7,False,domestico,False
T3AF0CA5142,2024-04,2024-04-28,2024-05-18,2024-07-02,True,51.0,1586.0,158.6,190.32,1934.92,False,industrial,True
T525C93E294,2024-04,2024-04-26,2024-05-16,2024-05-10,True,8.9,140.35,14.04,16.84,171.23,False,domestico,False
TA60FF3309B,2024-04,2024-04-26,2024-05-16,2024-05-12,True,13.6,194.4,19.44,23.33,237.17,False,domestico,False
T6230F0F81A,2024-04,2024-04-23,2024-05-13,2024-04-29,True,17.2,235.8,23.58,28.3,287.68,False,domestico,False
T486DC7662A,2024-04,2024-04-28,2024-05-18,2024-05-31,True,196.3,5363.8,536.38,643.66,6543.84,False,industrial,True
T0DD0FDF0BD,2024-04,2024-04-24,2024-05-14,2024-07-03,True,22.9,301.35,30.13,36.16,367.65,False,domestico,True
T81EEF6FCD3,2024-04,2024-04-23,2024-05-13,2024-05-06,True,15.1,211.65,21.17,25.4,258.21,False,domestico,False
T6269371CAA,2024-04,2024-04-23,2024-05-13,2024-05-09,True,11.0,164.5,16.45,19.74,200.69,True,domestico,False
TF7BDB30AC3,2024-04,2024-04-29,2024-05-19,2024-05-15,True,39.1,487.65,48.77,58.52,594.93,False,domestico,False
TC1EBE75CAC,2024-04,2024-04-27,2024-05-17,2024-05-11,True,0.0,38.0,3.8,4.56,46.36,False,domestico,False
T0A0805FB46,2024-04,2024-04-27,2024-05-17,2024-05-23,True,22.9,301.35,30.13,36.16,367.65,False,domestico,True
T7C1EBC3C4C,2024-04,2024-04-23,2024-05-13,2024-04-28,True,23.5,308.25,30.83,36.99,376.06,False,domestico,False
TFB5558315C,2024-04,2024-04-27,2024-05-17,2024-07-18,True,18.9,255.35,25.54,0.0,280.88,False,domestico,True
T4D34DCD6FE,2024-04,2024-04-24,2024-05-14,2024-05-07,True,14.0,199.0,19.9,23.88,242.78,False,domestico,False
T8F2163E1AC,2024-04,2024-04-23,2024-05-13,2024-05-07,True,33.0,722.0,0.0,86.64,808.64,False,comercial,False
T6D36EEA27E,2024-04,2024-04-23,2024-05-13,2024-04-28,True,17.6,240.4,24.04,28.85,293.29,False,domestico,False
TD718599337,2024-04,2024-04-22,2024-05-12,2024-05-09,True,46.4,766.0,76.6,91.92,934.52,False,publico,False
TACFC1D584E,2024-04,2024-04-26,2024-05-16,2024-05-30,True,22.8,300.2,30.02,36.02,366.24,False,domestico,True
TE1CE4D9E5A,2024-04,2024-04-27,2024-05-17,2024-05-01,True,16.9,232.35,23.23,27.88,283.47,False,domestico,False
TEEB9050E6F,2024-04,2024-04-28,2024-05-18,2024-05-09,True,32.2,408.3,40.83,49.0,498.13,False,domestico,False
T266175A7E1,2024-04,2024-04-28,2024-05-18,2024-07-16,True,37.1,464.65,46.47,55.76,566.87,True,domestico,True
T188F8436EB,2024-04,2024-04-25,2024-05-15,2024-05-08,True,8.6,136.9,13.69,0.0,150.59,False,domestico,False
TBF5EF4019A,2024-04,2024-04-28,2024-05-18,2024-05-14,True,11.4,169.1,16.91,20.29,206.3,False,domestico,False
TF8038E3438,2024-04,2024-04-25,2024-05-15,2024-05-10,True,13.5,193.25,19.33,0.0,212.57,True,domestico,False
T14A35B501D,2024-04,2024-04-30,2024-05-20,2024-07-25,True,0.0,95.0,9.5,11.4,115.9,False,comercial,True
TACA1F6575E,2024-04,2024-04-24,2024-05-14,2024-04-26,True,16.1,223.15,22.32,26.78,272.24,True,domestico,False
T425CF74F89,2024-04,2024-04-25,2024-05-15,2024-04-26,True,2.0,61.0,6.1,7.32,74.42,True,domestico,False
T7E561E41DF,2024-04,2024-04-24,2024-05-14,2024-04-29,True,18.1,246.15,24.62,0.0,270.76,False,domestico,False
TAE21909B09,2024-04,2024-04-26,2024-05-16,2024-06-18,True,16.8,231.2,23.12,27.74,282.06,False,domestico,True
TA49FD77129,2024-04,2024-04-24,2024-05-14,2024-04-28,True,43.7,925.3,92.53,111.04,1128.87,False,comercial,False
T83C53CBDE3,2024-04,2024-04-23,2024-05-13,2024-05-06,True,23.4,307.1,30.71,36.85,374.66,False,domestico,False
T8989E9F3E0,2024-04,2024-04-30,2024-05-20,2024-05-15,True,28.0,627.0,62.7,75.24,764.94,False,comercial,False
T0E868A3F47,2024-04,2024-04-27,2024-05-17,2024-05-02,True,25.7,333.55,33.36,40.03,406.93,False,domestico,False
TAA4A146A6F,2024-04,2024-04-25,2024-05-15,2024-07-01,True,7.5,182.5,18.25,21.9,222.65,False,publico,True
T929701588B,2024-04,2024-04-27,2024-05-17,2024-05-01,True,8.5,135.75,13.58,0.0,149.32,True,domestico,False
TCBA87E8F93,2024-04,2024-04-26,2024-05-16,2024-04-29,True,19.6,263.4,26.34,31.61,321.35,True,domestico,False
T71B2CE98BC,2024-04,2024-04-23,2024-05-13,2024-04-24,True,28.4,364.6,36.46,43.75,444.81,False,domestico,False
T3104E606FB,2024-04,2024-04-24,2024-05-14,2024-05-05,True,17.0,233.5,23.35,28.02,284.87,False,domestico,False
TC9C584B8EF,2024-04,2024-04-27,2024-05-17,2024-05-08,True,45.0,555.5,55.55,0.0,611.05,False,domestico,False
T42EAACA5A6,2024-04,2024-04-25,2024-05-15,2024-05-12,True,14.6,205.9,0.0,24.71,230.61,False,domestico,False
T27CD292019,2024-04,2024-04-26,2024-05-16,2024-05-06,True,21.2,281.8,28.18,33.82,343.8,False,domestico,False
T2631941D4D,2024-04,2024-04-23,2024-05-13,2024-04-27,True,24.8,323.2,32.32,38.78,394.3,False,domestico,False
TD6D0D046B5,2024-04,2024-04-23,2024-05-13,2024-05-10,True,6.4,111.6,11.16,13.39,136.15,True,domestico,False
T930BCF26DA,2024-04,2024-04-25,2024-05-15,2024-04-27,True,21.2,281.8,28.18,33.82,343.8,True,domestico,False
T7A263D97A8,2024-04,2024-04-27,2024-05-17,2024-05-02,True,13.7,195.55,19.55,23.47,238.57,False,domestico,False
T84CC232045,2024-04,2024-04-27,2024-05-17,2024-05-08,True,15.4,215.1,21.51,25.81,262.42,False,domestico,False
T1F7089E5B3,2024-04,2024-04-28,2024-05-18,2024-07-31,True,22.3,294.45,29.45,35.33,359.23,False,domestico,True
T6DD01C39D7,2024-04,2024-04-24,2024-05-14,2024-05-10,True,29.4,653.6,65.36,78.43,797.39,True,comercial,False
TE3814F5946,2024-04,2024-04-27,2024-05-17,2024-06-13,True,8.9,140.35,14.04,16.84,171.23,False,domestico,True
T260F6D657D,2024-04,2024-04-28,2024-05-18,2024-04-28,True,21.0,279.5,27.95,33.54,340.99,False,domestico,False
TF9F158A927,2024-04,2024-04-26,2024-05-16,2024-05-15,True,20.5,273.75,27.38,32.85,333.98,False,domestico,False
T2A78E596A5,2024-04,2024-04-27,2024-05-17,2024-04-30,True,22.7,299.05,29.91,35.89,364.84,False,domestico,False
T48829C6681,2024-04,2024-04-25,2024-05-15,2024-06-09,True,20.5,273.75,27.38,32.85,333.98,False,domestico,True
T5446AB5D4F,2024-04,2024-04-28,2024-05-18,2024-05-14,True,10.3,156.45,15.64,18.77,190.87,False,domestico,False
T6FEE2A0A85,2024-04,2024-04-26,2024-05-16,2024-06-23,True,13.6,194.4,19.44,23.33,237.17,False,domestico,True
T37BA3005AD,2024-04,2024-04-29,2024-05-19,2024-04-29,True,31.5,400.25,40.03,48.03,488.3,False,domestico,False
T599538981A,2024-04,2024-04-24,2024-05-14,2024-04-28,True,53.1,1103.9,110.39,132.47,1346.76,False,comercial,False
TC1FE3D7E79,2024-04,2024-04-25,2024-05-15,2024-04-30,True,18.2,247.3,24.73,29.68,301.71,False,domestico,False
TAB633F4546,2024-04,2024-04-28,2024-05-18,2024-05-29,True,20.3,480.7,0.0,57.68,538.38,False,comercial,True
TEF123948C4,2024-04,2024-04-22,2024-05-12,2024-05-06,True,12.6,182.9,18.29,21.95,223.14,False,domestico,False
T50EA3E30B0,2024-04,2024-04-29,2024-05-19,2024-06-14,True,17.2,235.8,23.58,28.3,287.68,False,domestico,True
T10E8B50E63,2024-04,2024-04-25,2024-05-15,2024-04-25,True,44.8,946.2,94.62,113.54,1154.36,True,comercial,False
T75445AB825,2024-04,2024-04-23,2024-05-13,2024-04-24,True,14.8,208.2,20.82,24.98,254.0,True,domestico,False
T9AEC04CEE6,2024-04,2024-04-28,2024-05-18,2024-05-13,True,0.0,38.0,3.8,4.56,46.36,False,domestico,False
TE59C7E0558,2024-04,2024-04-27,2024-05-17,2024-05-01,True,10.1,154.15,15.41,18.5,188.06,False,domestico,False
T017F5CC857,2024-04,2024-04-28,2024-05-18,2024-07-24,True,26.6,343.9,34.39,41.27,419.56,False,domestico,True
T5740214D00,2024-04,2024-04-23,2024-05-13,2024-06-16,True,6.1,108.15,10.81,12.98,131.94,False,domestico,True
TA54FDBC969,2024-04,2024-04-30,2024-05-20,2024-05-07,True,50.2,1048.8,104.88,125.86,1279.54,False,comercial,False
T79348D1D8C,2024-04,2024-04-27,2024-05-17,2024-05-01,True,67.5,1377.5,137.75,0.0,1515.25,False,comercial,False
T0C38B9638D,2024-04,2024-04-25,2024-05-15,2024-04-28,True,27.1,609.9,60.99,73.19,744.08,True,comercial,False
TF8CD7DEDDA,2024-04,2024-04-29,2024-05-19,2024-05-16,True,23.9,312.85,31.28,37.54,381.68,False,domestico,False
TD4AA44C620,2024-04,2024-04-24,2024-05-14,2024-05-13,True,22.6,297.9,29.79,35.75,363.44,False,domestico,False
TBA22021045,2024-04,2024-04-25,2024-05-15,2024-04-28,True,70.5,1127.5,112.75,135.3,1375.55,False,publico,False
TAE4991C39A,2024-04,2024-04-23,2024-05-13,2024-05-07,True,17.9,243.85,24.39,0.0,268.24,True,domestico,False
T926427EC22,2024-04,2024-04-27,2024-05-17,2024-05-27,True,18.2,247.3,24.73,29.68,301.71,False,domestico,True
T03F3726F54,2024-04,2024-04-27,2024-05-17,2024-04-28,True,18.9,255.35,0.0,30.64,285.99,False,domestico,False
T9C5C1B51E6,2024-04,2024-04-24,2024-05-14,2024-07-14,True,23.4,307.1,30.71,36.85,374.66,False,domestico,True
TAB67F85714,2024-04,2024-04-22,2024-05-12,2024-04-28,True,19.2,258.8,25.88,31.06,315.74,False,domestico,False
T021E4A2B45,2024-04,2024-04-28,2024-05-18,2024-05-11,True,13.4,192.1,19.21,23.05,234.36,False,domestico,False
T9C284C6EDE,2024-04,2024-04-26,2024-05-16,2024-04-27,True,20.6,274.9,27.49,32.99,335.38,False,domestico,False
TE5AE06739E,2024-04,2024-04-27,2024-05-17,2024-05-16,True,14.5,204.75,20.48,0.0,225.22,False,domestico,False
T01F422D988,2024-04,2024-04-25,2024-05-15,2024-07-21,True,10.9,163.35,16.34,19.6,199.29,False,domestico,True
T812E69DF24,2024-04,2024-04-26,2024-05-16,2024-05-04,True,62.1,1274.9,127.49,0.0,1402.39,False,comercial,False
T1753290875,2024-04,2024-04-23,2024-05-13,2024-05-06,True,13.7,195.55,19.55,23.47,238.57,False,domestico,False
T6453265506,2024-04,2024-04-24,2024-05-14,2024-04-28,True,0.0,260.0,26.0,31.2,317.2,False,industrial,False
T3DCE54CBCD,2024-04,2024-04-28,2024-05-18,2024-05-11,True,11.6,171.4,17.14,20.57,209.11,False,domestico,False
T25A59C1230,2024-04,2024-04-29,2024-05-19,2024-05-08,True,39.3,841.7,84.17,101.0,1026.87,False,comercial,False
T7149DBE7E7,2024-04,2024-04-26,2024-05-16,2024-05-11,True,34.8,756.2,75.62,90.74,922.56,False,comercial,False
T17B01CE93D,2024-04,2024-04-25,2024-05-15,2024-04-26,True,9.9,151.85,15.19,18.22,185.26,True,domestico,False
