id_toma,periodo,fecha_lectura,lectura_inicial,lectura_final,consumo_m3,medidor_mudo,tiene_fuga
T6A6F416B64,2024-04,2024-04-23,931.0,945.5,14.5,False,False
T5C22EC11B8,2024-04,2024-04-21,430.0,478.0,48.0,False,False
T132EB7CE2B,2024-04,2024-04-20,1045.0,1058.1,13.1,False,False
T011F73020E,2024-04,2024-04-25,1048.0,1072.5,24.5,False,False
T0197678D11,2024-04,2024-04-21,585.0,623.1,38.1,False,False
TBA58CFEBC6,2024-04,2024-04-22,1378.0,1400.7,22.7,False,False
T78A401EEAD,2024-04,2024-04-25,178.0,198.7,20.7,False,False
TE33F90B286,2024-04,2024-04-20,306.0,321.8,15.8,False,False
T761C9E26E6,2024-04,2024-04-25,229.0,229.0,0.0,True,False
T65187CE62C,2024-04,2024-04-22,477.0,517.5,40.5,False,False
T6DD4962896,2024-04,2024-04-21,197.0,210.5,13.5,False,False
T57E5EAB9B8,2024-04,2024-04-22,996.0,1007.3,11.3,False,False
T0D1C506545,2024-04,2024-04-24,739.0,751.3,12.3,False,False
T16385BC409,2024-04,2024-04-20,208.0,218.1,10.1,False,False
T703E749B16,2024-04,2024-04-25,656.0,669.2,13.2,False,False
TE03815B898,2024-04,2024-04-21,1369.0,1394.1,25.1,False,False
T5EDC8CD764,2024-04,2024-04-24,1017.0,1029.8,12.8,False,False
T8A0E42EA46,2024-04,2024-04-21,1130.0,1143.6,13.6,False,False
T58E4665FE8,2024-04,2024-04-25,226.0,250.7,24.7,False,False
T45A3829C6C,2024-04,2024-04-23,159.0,175.6,16.6,False,False
T0F2B41D96D,2024-04,2024-04-24,33.0,68.0,35.0,False,False
T45E4DAC832,2024-04,2024-04-22,715.0,729.6,14.6,False,False
TB308B5DC7A,2024-04,2024-04-20,1055.0,1070.2,15.2,False,False
T5A52BDFD5B,2024-04,2024-04-20,1141.0,1148.1,7.1,False,False
T3B6195226D,2024-04,2024-04-21,424.0,446.6,22.6,False,False
TEF3ACC364D,2024-04,2024-04-24,60.0,74.2,14.2,False,False
T0E3944E1C7,2024-04,2024-04-22,1337.0,1356.0,19.0,False,False
TC5E02C2AE1,2024-04,2024-04-23,825.0,830.1,5.1,False,False
T9C181CA6B2,2024-04,2024-04-21,466.0,482.4,16.4,False,False
T46D0D9FE06,2024-04,2024-04-22,885.0,900.8,15.8,False,False
T3763EE0258,2024-04,2024-04-21,250.0,261.2,11.2,False,False
TB6793708AF,2024-04,2024-04-23,718.0,725.5,7.5,False,False
T02BF3919B7,2024-04,2024-04-23,1153.0,1164.3,11.3,False,False
T61903D0C08,2024-04,2024-04-25,352.0,362.6,10.6,False,False
T1540962193,2024-04,2024-04-22,253.0,337.7,84.7,False,False
TE8DF4BFC62,2024-04,2024-04-23,1306.0,1351.8,45.8,False,False
T97A5E4F98E,2024-04,2024-04-25,1113.0,1131.1,18.1,False,False
TB2B631F6DE,2024-04,2024-04-20,48.0,48.0,0.0,True,False
TFD4476DD46,2024-04,2024-04-24,501.0,533.8,32.8,False,False
T63AE43B763,2024-04,2024-04-24,754.0,778.7,24.7,False,False
TF7E0F3ADFA,2024-04,2024-04-20,567.0,567.0,0.0,True,False
T9F3D4A99A8,2024-04,2024-04-20,952.0,956.8,4.8,False,False
T3AF0CA5142,2024-04,2024-04-25,767.0,818.0,51.0,False,False
T525C93E294,2024-04,2024-04-24,227.0,235.9,8.9,False,False
TA60FF3309B,2024-04,2024-04-24,1102.0,1115.6,13.6,False,False
T6230F0F81A,2024-04,2024-04-21,134.0,151.2,17.2,False,False
T486DC7662A,2024-04,2024-04-24,769.0,965.3,196.3,False,False
T0DD0FDF0BD,2024-04,2024-04-20,509.0,531.9,22.9,False,False
T81EEF6FCD3,2024-04,2024-04-21,743.0,758.1,15.1,False,False
T6269371CAA,2024-04,2024-04-20,1309.0,1320.0,11.0,False,False
TF7BDB30AC3,2024-04,2024-04-25,350.0,389.1,39.1,False,False
TC1EBE75CAC,2024-04,2024-04-22,877.0,877.0,0.0,True,False
T0A0805FB46,2024-04,2024-04-22,1470.0,1492.9,22.9,False,False
T7C1EBC3C4C,2024-04,2024-04-20,267.0,290.5,23.5,False,False
TFB5558315C,2024-04,2024-04-24,83.0,,,False,False
T4D34DCD6FE,2024-04,2024-04-20,614.0,628.0,14.0,False,False
T8F2163E1AC,2024-04,2024-04-20,1278.0,1311.0,33.0,False,False
T6D36EEA27E,2024-04,2024-04-21,120.0,137.6,17.6,False,False
TD718599337,2024-04,2024-04-20,700.0,746.4,46.4,False,False
TACFC1D584E,2024-04,2024-04-21,980.0,1002.8,22.8,False,False
TE1CE4D9E5A,2024-04,2024-04-25,230.0,246.9,16.9,False,False
TEEB9050E6F,2024-04,2024-04-23,520.0,552.2,32.2,False,False
T266175A7E1,2024-04,2024-04-24,1281.0,1318.1,37.1,False,False
T188F8436EB,2024-04,2024-04-22,415.0,423.6,8.6,False,False
TBF5EF4019A,2024-04,2024-04-24,767.0,778.4,11.4,False,False
TF8038E3438,2024-04,2024-04-23,628.0,641.5,13.5,False,False
T14A35B501D,2024-04,2024-04-25,858.0,858.0,0.0,True,False
TACA1F6575E,2024-04,2024-04-21,4.0,20.1,16.1,False,False
T425CF74F89,2024-04,2024-04-21,958.0,960.0,2.0,False,False
T7E561E41DF,2024-04,2024-04-22,1441.0,1459.1,18.1,False,False
TAE21909B09,2024-04,2024-04-23,462.0,478.8,16.8,False,False
TA49FD77129,2024-04,2024-04-22,763.0,806.7,43.7,False,False
T83C53CBDE3,2024-04,2024-04-20,648.0,,,False,False
T8989E9F3E0,2024-04,2024-04-25,902.0,930.0,28.0,False,False
T0E868A3F47,2024-04,2024-04-24,1400.0,1425.7,25.7,False,False
TAA4A146A6F,2024-04,2024-04-23,847.0,854.5,7.5,False,False
T929701588B,2024-04,2024-04-23,543.0,551.5,8.5,False,False
TCBA87E8F93,2024-04,2024-04-22,1369.0,1388.6,19.6,False,False
T71B2CE98BC,2024-04,2024-04-21,1340.0,1368.4,28.4,False,False
T3104E606FB,2024-04,2024-04-21,1432.0,1449.0,17.0,False,False
TC9C584B8EF,2024-04,2024-04-22,362.0,407.0,45.0,False,True
T42EAACA5A6,2024-04,2024-04-20,335.0,349.6,14.6,False,False
T27CD292019,2024-04,2024-04-23,1261.0,1282.2,21.2,False,False
T2631941D4D,2024-04,2024-04-21,1396.0,1420.8,24.8,False,False
TD6D0D046B5,2024-04,2024-04-20,334.0,340.4,6.4,False,False
T930BCF26DA,2024-04,2024-04-21,1366.0,1387.2,21.2,False,False
T7A263D97A8,2024-04,2024-04-22,117.0,130.7,13.7,False,False
T84CC232045,2024-04,2024-04-25,948.0,963.4,15.4,False,False
T1F7089E5B3,2024-04,2024-04-24,999.0,1021.3,22.3,False,False
T6DD01C39D7,2024-04,2024-04-22,902.0,931.4,29.4,False,False
TE3814F5946,2024-04,2024-04-25,1044.0,1052.9,8.9,False,False
T260F6D657D,2024-04,2024-04-23,1464.0,1485.0,21.0,False,False
TF9F158A927,2024-04,2024-04-24,604.0,624.5,20.5,False,False
T2A78E596A5,2024-04,2024-04-22,379.0,401.7,22.7,False,False
T48829C6681,2024-04,2024-04-22,585.0,605.5,20.5,False,False
T5446AB5D4F,2024-04,2024-04-25,1327.0,1337.3,10.3,False,False
T6FEE2A0A85,2024-04,2024-04-21,248.0,261.6,13.6,False,False
T37BA3005AD,2024-04,2024-04-25,964.0,995.5,31.5,False,False
T599538981A,2024-04,2024-04-22,761.0,814.1,53.1,False,False
TC1FE3D7E79,2024-04,2024-04-23,981.0,999.2,18.2,False,False
TAB633F4546,2024-04,2024-04-25,154.0,174.3,20.3,False,False
TEF123948C4,2024-04,2024-04-20,563.0,575.6,12.6,False,False
T50EA3E30B0,2024-04,2024-04-25,922.0,939.2,17.2,False,False
T10E8B50E63,2024-04,2024-04-22,993.0,1037.8,44.8,False,False
T75445AB825,2024-04,2024-04-21,1065.0,1079.8,14.8,False,False
T9AEC04CEE6,2024-04,2024-04-24,174.0,174.0,0.0,True,False
TE59C7E0558,2024-04,2024-04-23,346.0,356.1,10.1,False,False
T017F5CC857,2024-04,2024-04-25,1217.0,1243.6,26.6,False,False
T5740214D00,2024-04,2024-04-21,413.0,419.1,6.1,False,False
TA54FDBC969,2024-04,2024-04-25,458.0,508.2,50.2,False,False
T79348D1D8C,2024-04,2024-04-24,93.0,160.5,67.5,False,False
T0C38B9638D,2024-04,2024-04-23,714.0,741.1,27.1,False,False
TF8CD7DEDDA,2024-04,2024-04-25,592.0,,,False,False
TD4AA44C620,2024-04,2024-04-20,579.0,601.6,22.6,False,False
TBA22021045,2024-04,2024-04-23,140.0,210.5,70.5,False,False
TAE4991C39A,2024-04,2024-04-20,1373.0,1390.9,17.9,False,False
T926427EC22,2024-04,2024-04-24,553.0,571.2,18.2,False,False
T03F3726F54,2024-04,2024-04-25,895.0,913.9,18.9,False,False
T9C5C1B51E6,2024-04,2024-04-21,113.0,136.4,23.4,False,False
TAB67F85714,2024-04,2024-04-20,1457.0,1476.2,19.2,False,False
T021E4A2B45,2024-04,2024-04-25,476.0,489.4,13.4,False,False
T9C284C6EDE,2024-04,2024-04-22,1365.0,1385.6,20.6,False,False
TE5AE06739E,2024-04,2024-04-24,105.0,119.5,14.5,False,False
T01F422D988,2024-04,2024-04-22,1483.0,1493.9,10.9,False,False
T812E69DF24,2024-04,2024-04-23,406.0,468.1,62.1,False,False
T1753290875,2024-04,2024-04-20,1313.0,1326.7,13.7,False,False
T6453265506,2024-04,2024-04-20,1122.0,1122.0,0.0,True,False
T3DCE54CBCD,2024-04,2024-04-25,181.0,192.6,11.6,False,False
T25A59C1230,2024-04,2024-04-24,43.0,82.3,39.3,False,False
T7149DBE7E7,2024-04,2024-04-22,686.0,26.400022132797577,34.8,False,False
T17B01CE93D,2024-04,2024-04-21,1278.0,1287.9,9.9,False,False
T2A7B7C0706,2024-04,2024-04-21,1212.0,1229.1,17.1,False,False
TA2A12750E0,2024-04,2024-04-22,385.0,401.2,16.2,False,False
TCDF5CCF9D1,2024-04,2024-04-22,1471.0,1488.9,17.9,False,False
T136877D852,2024-04,2024-04-24,904.0,923.3,19.3,False,False
TD93E7F3525,2024-04,2024-04-22,1157.0,1166.7,9.7,False,False
T9E698DAD97,2024-04,2024-04-22,191.0,210.4,19.4,False,False
TA7CD008CD2,2024-04,2024-04-23,1133.0,1158.4,25.4,False,False
TB5E2F0D295,2024-04,2024-04-20,787.0,801.3,14.3,False,False
T886651EB56,2024-04,2024-04-23,1413.0,1444.7,31.7,False,False
T726E26C014,2024-04,2024-04-25,432.0,442.9,10.9,False,False
T47801013F9,2024-04,2024-04-22,74.0,100.2,26.2,False,False
T7B44E5C01C,2024-04,2024-04-21,1073.0,1079.4,6.4,False,False
T06E1B5C91E,2024-04,2024-04-24,560.0,560.0,0.0,True,False
TBD7AFAA9AB,2024-04,2024-04-25,1054.0,1077.4,23.4,False,False
T3A8AE15DE9,2024-04,2024-04-21,948.0,948.0,0.0,True,False
T90FCBE8560,2024-04,2024-04-23,1182.0,1195.9,13.9,False,False
T6B76BCDCC8,2024-04,2024-04-24,1189.0,1235.7,46.7,False,False
T6B61D786E8,2024-04,2024-04-23,949.0,962.9,13.9,False,False
TD8B8E83F9D,2024-04,2024-04-23,1209.0,1226.7,17.7,False,False
T353F39960E,2024-04,2024-04-21,368.0,,,False,False
TC44518846F,2024-04,2024-04-24,203.0,220.6,17.6,False,False
T3DBD424B8F,2024-04,2024-04-21,492.0,501.5,9.5,False,False
TB8E4E6CA4C,2024-04,2024-04-20,450.0,496.9,46.9,False,False
T54630B6404,2024-04,2024-04-23,145.0,166.8,21.8,False,False
T71623730B1,2024-04,2024-04-25,956.0,82.3171673148917,12.7,False,False
T7436A106AE,2024-04,2024-04-23,350.0,360.4,10.4,False,False
T6191B8FD69,2024-04,2024-04-24,1032.0,1045.9,13.9,False,False
TBA7727A83B,2024-04,2024-04-22,371.0,385.2,14.2,False,False
T66B24DDB8C,2024-04,2024-04-21,1477.0,1496.8,19.8,False,False
T0EAA0EDBAF,2024-04,2024-04-22,511.0,550.6,39.6,False,False
TDCBC842E3A,2024-04,2024-04-24,240.0,271.9,31.9,False,False
T305BACE840,2024-04,2024-04-21,608.0,625.8,17.8,False,False
TAD0E244201,2024-04,2024-04-21,901.0,929.9,28.9,False,False
T824A68B378,2024-04,2024-04-25,1208.0,1214.6,6.6,False,False
T9F72B39B89,2024-04,2024-04-22,569.0,576.8,7.8,False,False
T0380D1AD85,2024-04,2024-04-23,853.0,871.5,18.5,False,False
TD58AFBB420,2024-04,2024-04-20,1338.0,1396.2,58.2,False,False
TB1A6FA6009,2024-04,2024-04-25,265.0,275.2,10.2,False,False
TB95EB354D9,2024-04,2024-04-21,779.0,802.8,23.8,False,False
T6EBEC2B9E3,2024-04,2024-04-21,321.0,335.6,14.6,False,False
TCBAFB86C54,2024-04,2024-04-23,1441.0,1451.8,10.8,False,False
T2D884BEE59,2024-04,2024-04-25,994.0,1011.5,17.5,False,False
T81E3CAC404,2024-04,2024-04-24,1173.0,1180.1,7.1,False,False
TB13246DF04,2024-04,2024-04-20,1303.0,1369.3,66.3,False,False
T38FC29870C,2024-04,2024-04-20,829.0,838.2,9.2,False,False
T0B952300A6,2024-04,2024-04-24,944.0,963.8,19.8,False,False
T592EE5AE5A,2024-04,2024-04-20,357.0,374.8,17.8,False,False
T8AB7B992DC,2024-04,2024-04-24,1409.0,1421.4,12.4,False,False
TE13531501B,2024-04,2024-04-21,129.0,146.5,17.5,False,False
T603C6A7DDF,2024-04,2024-04-24,1193.0,,,False,False
T9B1CF87E17,2024-04,2024-04-23,428.0,446.8,18.8,False,False
T7E47E27FFB,2024-04,2024-04-20,939.0,952.5,13.5,False,False
T2FE3E18EED,2024-04,2024-04-22,874.0,889.5,15.5,False,False
T518FD2CD05,2024-04,2024-04-21,562.0,579.9,17.9,False,False
TCA03B52F53,2024-04,2024-04-21,187.0,203.1,16.1,False,False
TC97F0C81C8,2024-04,2024-04-25,419.0,548.8,129.8,False,False
T5825BB17FC,2024-04,2024-04-20,85.0,129.3,44.3,False,False
TC5E185C6E8,2024-04,2024-04-22,53.0,63.9,10.9,False,False
TEAD9E81003,2024-04,2024-04-22,682.0,701.7,19.7,False,False
TE23D5A574A,2024-04,2024-04-24,752.0,763.5,11.5,False,False
T04048D53A3,2024-04,2024-04-23,602.0,610.3,8.3,False,False
TE1AA9E77A7,2024-04,2024-04-24,889.0,893.4,4.4,False,False
TC54C99BA73,2024-04,2024-04-21,360.0,389.6,29.6,False,False
T013C0F8B57,2024-04,2024-04-21,1198.0,1211.2,13.2,False,False
T3C23C0A42C,2024-04,2024-04-25,756.0,776.7,20.7,False,False
TEDB2598366,2024-04,2024-04-24,1032.0,1044.9,12.9,False,False
T03D524AC98,2024-04,2024-04-25,1281.0,1295.4,14.4,False,False
T9B658694D7,2024-04,2024-04-22,342.0,372.4,30.4,False,False
T827DB403EF,2024-04,2024-04-24,979.0,981.6,2.6,False,False
TD5960FA89C,2024-04,2024-04-23,887.0,904.7,17.7,False,False
TEB9CD6778B,2024-04,2024-04-20,1263.0,1284.2,21.2,False,False
TCFB896C903,2024-04,2024-04-20,528.0,538.9,10.9,False,False
T4EBE5132B6,2024-04,2024-04-24,611.0,629.8,18.8,False,False
TD6D7800440,2024-04,2024-04-23,1255.0,1269.1,14.1,False,False
TB1AE49FA20,2024-04,2024-04-22,420.0,430.1,10.1,False,False
TF4940B0970,2024-04,2024-04-23,969.0,982.7,13.7,False,False
T6492EC951E,2024-04,2024-04-22,66.0,117.8,51.8,False,False
T5B2FD74A85,2024-04,2024-04-22,1125.0,1150.8,25.8,False,False
TCF1A6CDF80,2024-04,2024-04-22,202.0,225.5,23.5,False,False
TBA965CD37E,2024-04,2024-04-23,134.0,147.9,13.9,False,False
T8917AF33E8,2024-04,2024-04-21,39.0,139.7,100.7,False,False
T4F696F6C0E,2024-04,2024-04-25,132.0,151.9,19.9,False,False
TFB9BD0FCA4,2024-04,2024-04-20,1271.0,1305.1,34.1,False,False
T6372E1147F,2024-04,2024-04-21,840.0,858.0,18.0,False,False
T8B4FC280C2,2024-04,2024-04-20,310.0,321.3,11.3,False,False
T0AF0DD2FE5,2024-04,2024-04-21,847.0,861.4,14.4,False,False
T9BABD62590,2024-04,2024-04-20,642.0,688.5,46.5,False,False
TBBD0028CDB,2024-04,2024-04-21,715.0,728.7,13.7,False,False
T30E453AB34,2024-04,2024-04-23,778.0,790.1,12.1,False,False
T7DC59256DC,2024-04,2024-04-20,221.0,259.7,38.7,False,False
TCC371206BC,2024-04,2024-04-21,325.0,338.7,13.7,False,False
TDEF092A4C5,2024-04,2024-04-22,1268.0,1279.6,11.6,False,False
TE13FCEC631,2024-04,2024-04-20,863.0,881.6,18.6,False,False
T7C3F6A8162,2024-04,2024-04-23,1165.0,1165.0,0.0,True,False
T0F4A3A74ED,2024-04,2024-04-21,558.0,558.0,0.0,True,False
T5BEF82BC17,2024-04,2024-04-20,1109.0,1126.7,17.7,False,False
T07AC5856A4,2024-04,2024-04-22,452.0,463.6,11.6,False,False
T0185184B59,2024-04,2024-04-22,992.0,1009.1,17.1,False,False
T79F8E1FAE8,2024-04,2024-04-23,27.0,41.5,14.5,False,False
T4D40D256FE,2024-04,2024-04-23,718.0,748.4,30.4,False,False
TE74495FCDD,2024-04,2024-04-23,1356.0,1369.9,13.9,False,False
TAD9ED625D1,2024-04,2024-04-22,1180.0,1196.0,16.0,False,False
TE7328B9E12,2024-04,2024-04-24,527.0,535.4,8.4,False,False
T5FC1C50126,2024-04,2024-04-22,779.0,809.2,30.2,False,False
T203C71CAC2,2024-04,2024-04-20,1352.0,1369.8,17.8,False,False
T1D1F227112,2024-04,2024-04-22,456.0,478.3,22.3,False,False
TF62BDC6E96,2024-04,2024-04-21,1356.0,197.6546992475881,20.6,False,False
T5D35014BC6,2024-04,2024-04-22,1490.0,1497.9,7.9,False,False
T9C80DA594D,2024-04,2024-04-23,568.0,577.1,9.1,False,False
T575100FEE6,2024-04,2024-04-20,17.0,17.0,0.0,True,False
TFF833858D4,2024-04,2024-04-25,1470.0,1480.7,10.7,False,False
T44C452513D,2024-04,2024-04-23,538.0,558.8,20.8,False,False
TC11C4F89B7,2024-04,2024-04-23,110.0,127.7,17.7,False,False
T519E11C12F,2024-04,2024-04-21,77.0,97.1,20.1,False,False
T1D1C3809AD,2024-04,2024-04-23,535.0,577.8,42.8,False,False
T2F89E8ED6F,2024-04,2024-04-22,1180.0,1201.8,21.8,False,False
TED624C9B29,2024-04,2024-04-22,1140.0,1159.4,19.4,False,False
T80599540B9,2024-04,2024-04-20,4.0,37.5,33.5,False,False
T99F86EAA03,2024-04,2024-04-24,593.0,617.8,24.8,False,False
T48E474E620,2024-04,2024-04-24,1082.0,1107.8,25.8,False,False
T62F138B69F,2024-04,2024-04-25,1112.0,1134.7,22.7,False,False
T0ABCC73F5F,2024-04,2024-04-21,1176.0,1187.7,11.7,False,False
T451A03E5F4,2024-04,2024-04-22,402.0,450.4,48.4,False,False
T28A5C3A212,2024-04,2024-04-21,770.0,779.7,9.7,False,False
T9BF23AC92B,2024-04,2024-04-23,845.0,861.2,16.2,False,False
T8D847ABAD5,2024-04,2024-04-20,763.0,772.8,9.8,False,False
T79AD100612,2024-04,2024-04-23,947.0,979.4,32.4,False,False
T595C48877B,2024-04,2024-04-24,855.0,872.9,17.9,False,False
T7E1F631507,2024-04,2024-04-23,6.0,20.0,14.0,False,False
T7CEE29F570,2024-04,2024-04-23,303.0,316.6,13.6,False,False
TB28F8F08F4,2024-04,2024-04-20,664.0,678.7,14.7,False,False
T741A1119FA,2024-04,2024-04-24,226.0,253.6,27.6,False,False
T26862D1A4A,2024-04,2024-04-23,1368.0,1416.5,48.5,False,False
TCB96D14BFD,2024-04,2024-04-22,521.0,534.8,13.8,False,False
TF07D19AE17,2024-04,2024-04-23,7.0,47.6,40.6,False,False
T7AE1E63696,2024-04,2024-04-24,1306.0,1320.3,14.3,False,False
TEA687BEEC8,2024-04,2024-04-21,292.0,305.3,13.3,False,False
T5C97BD73CE,2024-04,2024-04-22,1318.0,1337.8,19.8,False,False
T64DF103F27,2024-04,2024-04-20,242.0,254.1,12.1,False,False
T962D5133B5,2024-04,2024-04-23,1055.0,1073.0,18.0,False,False
TFAE2AFD636,2024-04,2024-04-24,1306.0,1315.1,9.1,False,False
T8237A9AE83,2024-04,2024-04-22,284.0,298.6,14.6,False,False
T124789ED12,2024-04,2024-04-22,773.0,,,False,False
T77D8F1F07B,2024-04,2024-04-24,566.0,617.3,51.3,False,False
T88E01EE6A9,2024-04,2024-04-24,449.0,470.9,21.9,False,False
TCCA2F0E6D1,2024-04,2024-04-22,354.0,354.0,0.0,True,False
TE7C4074532,2024-04,2024-04-24,118.0,145.5,27.5,False,False
TE08ACE6D71,2024-04,2024-04-22,1293.0,1315.9,22.9,False,False
TF5AB4BC37D,2024-04,2024-04-25,357.0,374.0,17.0,False,False
T31A37C291B,2024-04,2024-04-25,48.0,48.0,0.0,True,False
T85072A41C6,2024-04,2024-04-21,1195.0,1206.3,11.3,False,False
T3DB8E8C91B,2024-04,2024-04-22,892.0,908.9,16.9,False,False
T1F21C0A526,2024-04,2024-04-23,141.0,166.4,25.4,False,False
TC653350390,2024-04,2024-04-22,1299.0,1317.2,18.2,False,False
TF357DF2C85,2024-04,2024-04-22,441.0,462.7,21.7,False,False
TC2B54F643A,2024-04,2024-04-21,251.0,269.0,18.0,False,False
T62A907AFA1,2024-04,2024-04-23,533.0,541.8,8.8,False,False
T9B926E1A60,2024-04,2024-04-21,764.0,764.0,0.0,True,False
