id_toma,periodo,fecha_emision,fecha_vencimiento,fecha_pago,pagado,consumo_m3,importe_agua,importe_alcantarillado,importe_saneamiento,total_pagar,domiciliado,tipo_tarifa,pago_tardio,fecha_lectura,lectura_inicial,lectura_final,consumo_valido,consumo_atipico,consumo_acotado,lectura_inconsistente,tiene_fuga,privada,tipo_ocupante,fecha_alta,incluye_alcantarillado,incluye_saneamiento,periodo_fecha,anio,mes,dias_atraso
TDFD5EF1E2B,2024-04,2024-04-30,2024-05-20,2024-05-01,True,15.4,215.1,21.51,25.81,262.42,False,domestico,0.0,2024-04-25,550.0,565.4,True,False,15.4,False,False,La Cañada,domestico,2020-10-11,True,True,2024-04-01,2024,4,-19.0
T6BE1C12D07,2024-04,2024-04-25,2024-05-15,2024-07-01,True,182.2,4997.2,499.72,599.66,6096.58,False,industrial,1.0,2024-04-23,1047.0,1229.2,True,False,182.2,False,False,Sin privada,industrial,2021-08-31,True,True,2024-04-01,2024,4,47.0
TE17C7596F7,2024-04,2024-04-29,2024-05-19,2024-05-04,True,20.5,273.75,27.38,32.85,333.98,False,domestico,0.0,2024-04-24,141.0,161.5,True,False,20.5,False,False,Los Fresnos,domestico,2019-05-14,True,True,2024-04-01,2024,4,-15.0
TF0590D064A,2024-04,2024-04-26,2024-05-16,2024-05-11,True,18.6,251.9,25.19,30.23,307.32,False,domestico,0.0,2024-04-22,438.0,456.6,True,False,18.6,False,False,Sin privada,domestico,2019-09-23,True,True,2024-04-01,2024,4,-5.0
T0201C8273D,2024-04,2024-04-25,2024-05-15,2024-07-11,True,13.2,189.8,0.0,22.78,212.58,False,domestico,1.0,2024-04-23,354.0,367.2,True,False,13.2,False,False,San Miguel,domestico,2021-09-28,False,True,2024-04-01,2024,4,57.0
T416D725964,2024-04,2024-04-28,2024-05-18,2024-04-28,True,15.2,212.8,21.28,25.54,259.62,False,domestico,0.0,2024-04-23,1080.0,1095.2,True,False,15.2,False,False,Los Encinos,domestico,2020-09-23,True,True,2024-04-01,2024,4,-20.0
T592985E849,2024-04,2024-04-25,2024-05-15,2024-05-07,True,32.0,406.0,40.6,48.72,495.32,False,domestico,0.0,2024-04-23,181.0,213.0,True,False,32.0,False,False,Los Fresnos,domestico,2022-07-16,True,True,2024-04-01,2024,4,-8.0
T8CFD079CB6,2024-04,2024-04-26,2024-05-16,2024-05-12,True,16.3,225.45,22.55,27.05,275.05,False,domestico,0.0,2024-04-22,1467.0,1483.3,True,False,16.3,False,False,Sin privada,domestico,2021-09-20,True,True,2024-04-01,2024,4,-4.0
TD10A6EDCA0,2024-04,2024-04-26,2024-05-16,2024-05-13,True,28.8,642.2,64.22,77.06,783.48,False,comercial,0.0,2024-04-21,743.0,771.8,True,False,28.8,False,False,La Noria,comercial,2021-08-10,True,True,2024-04-01,2024,4,-3.0
T0CE7987E4B,2024-04,2024-04-27,2024-05-17,2024-05-29,True,71.5,1453.5,145.35,174.42,1773.27,False,comercial,1.0,2024-04-24,245.0,316.5,True,False,71.5,False,False,Sin privada,comercial,2020-05-12,True,True,2024-04-01,2024,4,12.0
T0F12629295,2024-04,2024-04-22,2024-05-12,2024-05-09,True,3.4,77.1,7.71,9.25,94.06,False,domestico,0.0,2024-04-20,370.0,373.4,True,False,3.4,False,False,Los Fresnos,domestico,2020-02-01,True,True,2024-04-01,2024,4,-3.0
T7833B36159,2024-04,2024-04-24,2024-05-14,2024-05-03,True,15.4,215.1,21.51,25.81,262.42,True,domestico,0.0,2024-04-20,549.0,564.4,True,False,15.4,False,False,Sin privada,domestico,2022-06-10,True,True,2024-04-01,2024,4,-11.0
T997FF51E88,2024-04,2024-04-27,2024-05-17,2024-05-02,True,12.7,184.05,18.4,0.0,202.45,True,domestico,0.0,2024-04-22,760.0,772.7,True,False,12.7,False,False,La Cañada,domestico,2019-08-24,True,False,2024-04-01,2024,4,-15.0
TB0AFAFC426,2024-04,2024-04-26,2024-05-16,2024-07-29,True,55.1,896.5,89.65,107.58,1093.73,False,publico,1.0,2024-04-22,1492.0,1547.1,True,False,55.1,False,False,Las Palmas,publico,2021-03-29,True,True,2024-04-01,2024,4,74.0
T4B2228F178,2024-04,2024-04-27,2024-05-17,2024-04-30,True,17.9,243.85,24.39,29.26,297.5,True,domestico,0.0,2024-04-25,504.0,521.9,True,False,17.9,False,False,Villa Serena,domestico,2021-01-17,True,True,2024-04-01,2024,4,-17.0
T5D1D63651A,2024-04,2024-04-28,2024-05-18,2024-06-03,True,17.9,243.85,24.39,29.26,297.5,False,domestico,1.0,2024-04-25,256.0,273.9,True,False,17.9,False,False,El Pedregal,domestico,2023-01-06,True,True,2024-04-01,2024,4,16.0
T005A9CE174,2024-04,2024-04-25,2024-05-15,2024-04-29,True,14.0,199.0,19.9,23.88,242.78,True,domestico,0.0,2024-04-20,1241.0,1255.0,True,False,14.0,False,False,La Cañada,domestico,2020-01-19,True,True,2024-04-01,2024,4,-16.0
T0E572DDC2C,2024-04,2024-04-26,2024-05-16,2024-04-27,True,12.3,179.45,0.0,21.53,200.98,False,domestico,0.0,2024-04-21,984.0,996.3,True,False,12.3,False,False,Villa Serena,domestico,2021-10-01,False,True,2024-04-01,2024,4,-19.0
T6B4C3EB33E,2024-04,2024-04-29,2024-05-19,2024-05-12,True,4.5,89.75,8.97,10.77,109.49,False,domestico,0.0,2024-04-25,1300.0,1304.5,True,False,4.5,False,False,La Cañada,domestico,2023-09-10,True,True,2024-04-01,2024,4,-7.0
T98621FD0F2,2024-04,2024-04-24,2024-05-14,2024-05-06,True,0.0,260.0,26.0,31.2,317.2,False,industrial,0.0,2024-04-22,787.0,787.0,False,False,0.0,False,False,Sin privada,industrial,2020-10-16,True,True,2024-04-01,2024,4,-8.0
TCED7759D69,2024-04,2024-04-26,2024-05-16,2024-05-11,True,18.2,247.3,0.0,29.68,276.98,False,domestico,0.0,2024-04-21,1181.0,1199.2,True,False,18.2,False,False,Los Fresnos,domestico,2020-08-03,False,True,2024-04-01,2024,4,-5.0
T148BA00559,2024-04,2024-04-26,2024-05-16,2024-05-01,True,27.8,357.7,35.77,42.92,436.39,False,domestico,0.0,2024-04-24,1044.0,1071.8,True,False,27.8,False,False,Los Encinos,domestico,2022-08-10,True,True,2024-04-01,2024,4,-15.0
T8EF8382AF5,2024-04,2024-04-24,2024-05-14,2024-05-05,True,12.9,186.35,18.64,22.36,227.35,False,domestico,0.0,2024-04-20,1452.0,1464.9,True,False,12.9,False,False,Sin privada,domestico,2023-08-25,True,True,2024-04-01,2024,4,-9.0
T294140BCEC,2024-04,2024-04-29,2024-05-19,2024-05-09,True,29.4,653.6,65.36,78.43,797.39,False,comercial,0.0,2024-04-24,195.0,224.4,True,False,29.4,False,False,La Cañada,comercial,2019-05-06,True,True,2024-04-01,2024,4,-10.0
T2B4ECE5F7A,2024-04,2024-04-23,2024-05-13,2024-05-02,True,26.5,342.75,34.27,0.0,377.02,False,domestico,0.0,2024-04-21,202.0,228.5,True,False,26.5,False,False,San Miguel,domestico,2021-08-12,True,False,2024-04-01,2024,4,-11.0
TFCDB644B38,2024-04,2024-04-26,2024-05-16,2024-04-29,True,23.3,305.95,30.59,36.71,373.26,True,domestico,0.0,2024-04-24,227.0,250.3,True,False,23.3,False,False,Sin privada,domestico,2023-05-31,True,True,2024-04-01,2024,4,-17.0
TF46C85CB55,2024-04,2024-04-27,2024-05-17,2024-05-15,True,6.4,111.6,11.16,13.39,136.15,True,domestico,0.0,2024-04-25,612.0,81.57890309049104,True,False,6.4,True,False,Sin privada,domestico,2021-11-16,True,True,2024-04-01,2024,4,-2.0
T635E7348B0,2024-04,2024-04-27,2024-05-17,2024-05-02,True,28.3,363.45,36.34,43.61,443.41,False,domestico,0.0,2024-04-24,204.0,232.3,True,False,28.3,False,False,Sin privada,domestico,2024-06-16,True,True,2024-04-01,2024,4,-15.0
TD950C1321E,2024-04,2024-04-24,2024-05-14,2024-07-13,True,18.5,250.75,25.08,30.09,305.91,False,domestico,1.0,2024-04-21,262.0,280.5,True,False,18.5,False,False,Villa Serena,domestico,2021-09-26,True,True,2024-04-01,2024,4,60.0
T79F7CA1313,2024-04,2024-04-27,2024-05-17,2024-05-04,True,8.1,131.15,13.11,0.0,144.26,False,domestico,0.0,2024-04-24,211.0,219.1,True,False,8.1,False,False,Los Fresnos,domestico,2020-03-23,True,False,2024-04-01,2024,4,-13.0
T1890D0D69D,2024-04,2024-04-25,2024-05-15,2024-04-29,True,16.2,224.3,22.43,26.92,273.65,False,domestico,0.0,2024-04-21,741.0,757.2,True,False,16.2,False,False,San Miguel,domestico,2019-09-13,True,True,2024-04-01,2024,4,-16.0
T92ED6C6BBC,2024-04,2024-04-25,2024-05-15,2024-05-09,True,8.0,130.0,13.0,15.6,158.6,False,domestico,0.0,2024-04-21,419.0,427.0,True,False,8.0,False,False,Sin privada,domestico,2020-05-01,True,True,2024-04-01,2024,4,-6.0
T1A234D637E,2024-04,2024-04-27,2024-05-17,2024-05-07,True,16.7,230.05,23.0,0.0,253.05,False,domestico,0.0,2024-04-24,1085.0,1101.7,True,False,16.7,False,False,Los Fresnos,domestico,2020-11-29,True,False,2024-04-01,2024,4,-10.0
T0FA07C2AE6,2024-04,2024-04-27,2024-05-17,2024-06-26,True,8.5,135.75,13.58,0.0,149.32,False,domestico,1.0,2024-04-23,314.0,322.5,True,False,8.5,False,False,La Cañada,domestico,2021-01-18,True,False,2024-04-01,2024,4,40.0
T85D9327E38,2024-04,2024-04-22,2024-05-12,2024-05-01,True,13.5,193.25,19.33,23.19,235.76,False,domestico,0.0,2024-04-20,1270.0,1283.5,True,False,13.5,False,False,Villa Serena,domestico,2020-09-21,True,True,2024-04-01,2024,4,-11.0
T9B2220E701,2024-04,2024-04-24,2024-05-14,2024-05-03,True,26.8,346.2,34.62,41.54,422.36,True,domestico,0.0,2024-04-22,884.0,910.8,True,False,26.8,False,False,San Miguel,domestico,2022-12-09,True,True,2024-04-01,2024,4,-11.0
T75AE25B236,2024-04,2024-04-23,2024-05-13,2024-05-08,True,12.0,176.0,17.6,21.12,214.72,False,domestico,0.0,2024-04-20,798.0,810.0,True,False,12.0,False,False,Las Palmas,domestico,2023-06-02,True,True,2024-04-01,2024,4,-5.0
T85C4B9E9BD,2024-04,2024-04-29,2024-05-19,2024-05-15,True,6.5,112.75,11.28,13.53,137.56,False,domestico,0.0,2024-04-24,1135.0,1141.5,True,False,6.5,False,False,Villa Serena,domestico,2019-02-22,True,True,2024-04-01,2024,4,-4.0
TAAC46C752C,2024-04,2024-04-25,2024-05-15,2024-05-13,True,6.0,209.0,20.9,0.0,229.9,False,comercial,0.0,2024-04-21,1482.0,1488.0,True,False,6.0,False,False,Sin privada,comercial,2021-12-22,True,False,2024-04-01,2024,4,-2.0
TB5ABA37301,2024-04,2024-04-23,2024-05-13,2024-05-05,True,18.6,251.9,25.19,30.23,307.32,False,domestico,0.0,2024-04-20,773.0,791.6,True,False,18.6,False,False,Los Encinos,domestico,2019-03-12,True,True,2024-04-01,2024,4,-8.0
TDB1931905E,2024-04,2024-04-26,2024-05-16,2024-06-24,True,12.4,180.6,18.06,21.67,220.33,False,domestico,1.0,2024-04-24,920.0,932.4,True,False,12.4,False,False,Sin privada,domestico,2021-02-26,True,True,2024-04-01,2024,4,39.0
T8A79BCF725,2024-04,2024-04-26,2024-05-16,2024-05-11,True,7.8,127.7,12.77,15.32,155.79,True,domestico,0.0,2024-04-21,1256.0,1263.8,True,False,7.8,False,False,El Mirador,domestico,2021-04-10,True,True,2024-04-01,2024,4,-5.0
T1383BC162C,2024-04,2024-04-25,2024-05-15,2024-04-26,True,14.0,199.0,19.9,23.88,242.78,False,domestico,0.0,2024-04-22,1481.0,1495.0,True,False,14.0,False,False,Sin privada,domestico,2021-05-20,True,True,2024-04-01,2024,4,-19.0
TE3F34F661C,2024-04,2024-04-25,2024-05-15,2024-05-13,True,61.6,1265.4,126.54,151.85,1543.79,False,comercial,0.0,2024-04-22,721.0,782.6,True,False,61.6,False,False,Sin privada,comercial,2023-09-09,True,True,2024-04-01,2024,4,-2.0
T945DF5CC73,2024-04,2024-04-25,2024-05-15,2024-06-14,True,7.5,124.25,12.43,14.91,151.59,False,domestico,1.0,2024-04-20,1018.0,1025.5,True,False,7.5,False,False,Los Fresnos,domestico,2021-05-13,True,True,2024-04-01,2024,4,30.0
T89289351AD,2024-04,2024-04-26,2024-05-16,2024-05-07,True,0.0,38.0,0.0,4.56,42.56,True,domestico,0.0,2024-04-21,1084.0,1084.0,False,False,0.0,False,False,Sin privada,domestico,2021-08-06,False,True,2024-04-01,2024,4,-9.0
T3C6A8E589D,2024-04,2024-04-28,2024-05-18,2024-05-07,True,28.2,630.8,63.08,75.7,769.58,False,comercial,0.0,2024-04-25,83.0,111.2,True,False,28.2,False,False,San Miguel,comercial,2020-10-17,True,True,2024-04-01,2024,4,-11.0
T9EDB41553F,2024-04,2024-04-28,2024-05-18,2024-05-05,True,9.0,141.5,14.15,16.98,172.63,False,domestico,0.0,2024-04-24,178.0,187.0,True,False,9.0,False,False,Sin privada,domestico,2019-02-14,True,True,2024-04-01,2024,4,-13.0
T39FECD2D40,2024-04,2024-04-25,2024-05-15,2024-04-30,True,18.9,255.35,25.54,30.64,311.53,False,domestico,0.0,2024-04-21,645.0,663.9,True,False,18.9,False,False,Villa Serena,domestico,2020-12-31,True,True,2024-04-01,2024,4,-15.0
T393F331539,2024-04,2024-04-27,2024-05-17,2024-05-06,True,12.2,178.3,17.83,21.4,217.53,False,domestico,0.0,2024-04-22,327.0,339.2,True,False,12.2,False,False,El Mirador,domestico,2022-01-09,True,True,2024-04-01,2024,4,-11.0
T44E572D176,2024-04,2024-04-29,2024-05-19,2024-05-19,True,20.6,274.9,27.49,32.99,335.38,False,domestico,0.0,2024-04-25,288.0,308.6,True,False,20.6,False,False,Sin privada,domestico,2022-10-13,True,True,2024-04-01,2024,4,0.0
T6A0C9518A5,2024-04,2024-04-25,2024-05-15,2024-04-25,True,17.5,239.25,23.93,28.71,291.88,False,domestico,0.0,2024-04-23,1159.0,1176.5,True,False,17.5,False,False,Sin privada,domestico,2022-12-06,True,True,2024-04-01,2024,4,-20.0
T6F6C091F32,2024-04,2024-04-27,2024-05-17,2024-05-11,True,13.8,196.7,19.67,23.6,239.97,False,domestico,0.0,2024-04-24,1287.0,1300.8,True,False,13.8,False,False,Santa Teresa,domestico,2021-12-28,True,True,2024-04-01,2024,4,-6.0
T0A7DFC3903,2024-04,2024-04-26,2024-05-16,2024-05-06,True,23.1,303.65,30.37,36.44,370.45,False,domestico,0.0,2024-04-23,1295.0,1318.1,True,False,23.1,False,False,Sin privada,domestico,2019-09-12,True,True,2024-04-01,2024,4,-10.0
T4CA807AAAE,2024-04,2024-04-23,2024-05-13,2024-07-23,True,38.2,820.8,82.08,98.5,1001.38,False,comercial,1.0,2024-04-20,165.0,203.2,True,False,38.2,False,False,La Cañada,comercial,2020-07-28,True,True,2024-04-01,2024,4,71.0
T292B036CC6,2024-04,2024-04-29,2024-05-19,2024-05-19,True,18.3,248.45,24.85,29.81,303.11,True,domestico,0.0,2024-04-25,792.0,810.3,True,False,18.3,False,False,Sin privada,domestico,2023-06-07,True,True,2024-04-01,2024,4,0.0
TF252236170,2024-04,2024-04-23,2024-05-13,2024-05-01,True,24.2,316.3,31.63,37.96,385.89,False,domestico,0.0,2024-04-21,2.0,26.2,True,False,24.2,False,False,Sin privada,domestico,2021-11-04,True,True,2024-04-01,2024,4,-12.0
T47A88C447A,2024-04,2024-04-25,2024-05-15,2024-05-14,True,8.1,131.15,13.11,15.74,160.0,False,domestico,0.0,2024-04-23,653.0,661.1,True,False,8.1,False,False,La Cañada,domestico,2023-07-17,True,True,2024-04-01,2024,4,-1.0
T29274E7656,2024-04,2024-04-27,2024-05-17,2024-04-29,True,0.0,38.0,3.8,4.56,46.36,True,domestico,0.0,2024-04-22,241.0,241.0,False,False,0.0,False,False,Los Fresnos,domestico,2023-05-09,True,True,2024-04-01,2024,4,-18.0
TF94B3B4CEA,2024-04,2024-04-26,2024-05-16,2024-05-21,True,16.7,230.05,23.0,27.61,280.66,False,domestico,1.0,2024-04-22,469.0,485.7,True,False,16.7,False,False,San Miguel,domestico,2021-07-09,True,True,2024-04-01,2024,4,5.0
TD79C86593F,2024-04,2024-04-25,2024-05-15,2024-04-30,True,22.4,295.6,29.56,35.47,360.63,False,domestico,0.0,2024-04-23,878.0,900.4,True,False,22.4,False,False,Villa Serena,domestico,2021-11-25,True,True,2024-04-01,2024,4,-15.0
T042B2178D1,2024-04,2024-04-25,2024-05-15,2024-07-10,True,21.9,289.85,28.99,34.78,353.62,False,domestico,1.0,2024-04-22,58.0,79.9,True,False,21.9,False,False,Sin privada,domestico,2023-02-02,True,True,2024-04-01,2024,4,56.0
TE9E2B18053,2024-04,2024-04-27,2024-05-17,2024-04-28,True,51.3,1069.7,106.97,128.36,1305.03,False,comercial,0.0,2024-04-25,272.0,323.3,True,False,51.3,False,False,La Cañada,comercial,2020-12-15,True,True,2024-04-01,2024,4,-19.0
T80D9A080BE,2024-04,2024-04-30,2024-05-20,2024-05-09,True,41.5,883.5,88.35,106.02,1077.87,False,comercial,0.0,2024-04-25,1315.0,1356.5,True,False,41.5,False,False,La Cañada,comercial,2022-10-04,True,True,2024-04-01,2024,4,-11.0
T580C1D0E5A,2024-04,2024-04-27,2024-05-17,2024-05-10,True,58.3,1202.7,120.27,144.32,1467.29,False,comercial,0.0,2024-04-22,440.0,498.3,True,False,58.3,False,False,Sin privada,comercial,2021-12-16,True,True,2024-04-01,2024,4,-7.0
T262047037E,2024-04,2024-04-25,2024-05-15,2024-07-08,True,17.7,241.55,0.0,28.99,270.54,False,domestico,1.0,2024-04-20,458.0,475.7,True,False,17.7,False,False,La Noria,domestico,2021-12-16,False,True,2024-04-01,2024,4,54.0
T997FBB56CB,2024-04,2024-04-22,2024-05-12,2024-05-12,True,17.1,234.65,23.47,28.16,286.27,False,domestico,0.0,2024-04-20,1376.0,1393.1,True,False,17.1,False,False,La Cañada,domestico,2021-01-30,True,True,2024-04-01,2024,4,0.0
T488907BADA,2024-04,2024-04-28,2024-05-18,2024-05-14,True,22.5,296.75,29.68,35.61,362.04,False,domestico,0.0,2024-04-24,144.0,166.5,True,False,22.5,False,False,Sin privada,domestico,2019-03-13,True,True,2024-04-01,2024,4,-4.0
T959B664297,2024-04,2024-04-23,2024-05-13,2024-05-13,True,13.9,197.85,19.79,23.74,241.38,False,domestico,0.0,2024-04-20,35.0,48.9,True,False,13.9,False,False,Sin privada,domestico,2023-12-09,True,True,2024-04-01,2024,4,0.0
TCE4FA87780,2024-04,2024-04-27,2024-05-17,2024-05-15,True,11.5,170.25,17.03,20.43,207.71,False,domestico,0.0,2024-04-22,1212.0,1223.5,True,False,11.5,False,False,Sin privada,domestico,2023-04-22,True,True,2024-04-01,2024,4,-2.0
T6A6F416B64,2024-04,2024-04-27,2024-05-17,2024-05-10,True,14.5,204.75,20.48,24.57,249.79,False,domestico,0.0,2024-04-23,931.0,945.5,True,False,14.5,False,False,Sin privada,domestico,2020-08-12,True,True,2024-04-01,2024,4,-7.0
T5C22EC11B8,2024-04,2024-04-25,2024-05-15,2024-05-14,True,48.0,1007.0,100.7,0.0,1107.7,True,comercial,0.0,2024-04-21,430.0,478.0,True,False,48.0,False,False,Sin privada,comercial,2020-12-22,True,False,2024-04-01,2024,4,-1.0
T132EB7CE2B,2024-04,2024-04-22,2024-05-12,2024-05-03,True,13.1,188.65,18.87,22.64,230.15,False,domestico,0.0,2024-04-20,1045.0,1058.1,True,False,13.1,False,False,Los Encinos,domestico,2024-05-20,True,True,2024-04-01,2024,4,-9.0
T011F73020E,2024-04,2024-04-28,2024-05-18,2024-05-15,True,24.5,319.75,31.98,38.37,390.1,False,domestico,0.0,2024-04-25,1048.0,1072.5,True,False,24.5,False,False,Los Fresnos,domestico,2019-11-20,True,True,2024-04-01,2024,4,-3.0
T0197678D11,2024-04,2024-04-26,2024-05-16,2024-07-10,True,38.1,818.9,81.89,98.27,999.06,False,comercial,1.0,2024-04-21,585.0,623.1,True,False,38.1,False,False,Los Fresnos,comercial,2022-12-12,True,True,2024-04-01,2024,4,55.0
TBA58CFEBC6,2024-04,2024-04-26,2024-05-16,2024-05-14,True,22.7,526.3,52.63,63.16,642.09,False,comercial,0.0,2024-04-22,1378.0,1400.7,True,False,22.7,False,False,La Noria,comercial,2019-03-27,True,True,2024-04-01,2024,4,-2.0
T78A401EEAD,2024-04,2024-04-27,2024-05-17,2024-06-23,True,20.7,276.05,27.6,0.0,303.65,False,domestico,1.0,2024-04-25,178.0,198.7,True,False,20.7,False,False,Los Fresnos,domestico,2023-11-29,True,False,2024-04-01,2024,4,37.0
TE33F90B286,2024-04,2024-04-22,2024-05-12,2024-07-13,True,15.8,219.7,21.97,26.36,268.03,True,domestico,1.0,2024-04-20,306.0,321.8,True,False,15.8,False,False,Sin privada,domestico,2024-03-22,True,True,2024-04-01,2024,4,62.0
T761C9E26E6,2024-04,2024-04-30,2024-05-20,2024-05-08,True,0.0,38.0,3.8,4.56,46.36,False,domestico,0.0,2024-04-25,229.0,229.0,False,False,0.0,False,False,La Cañada,domestico,2022-01-21,True,True,2024-04-01,2024,4,-12.0
T65187CE62C,2024-04,2024-04-26,2024-05-16,2024-05-06,True,40.5,677.5,67.75,81.3,826.55,False,publico,0.0,2024-04-22,477.0,517.5,True,False,40.5,False,False,Sin privada,publico,2022-01-13,True,True,2024-04-01,2024,4,-10.0
T6DD4962896,2024-04,2024-04-24,2024-05-14,2024-05-13,True,13.5,193.25,19.33,23.19,235.76,False,domestico,0.0,2024-04-21,197.0,210.5,True,False,13.5,False,False,Sin privada,domestico,2024-01-26,True,True,2024-04-01,2024,4,-1.0
T57E5EAB9B8,2024-04,2024-04-26,2024-05-16,2024-05-07,True,11.3,167.95,16.8,0.0,184.75,False,domestico,0.0,2024-04-22,996.0,1007.3,True,False,11.3,False,False,El Pedregal,domestico,2022-07-30,True,False,2024-04-01,2024,4,-9.0
T0D1C506545,2024-04,2024-04-27,2024-05-17,,True,12.3,179.45,17.95,21.53,218.93,True,domestico,0.0,2024-04-24,739.0,751.3,True,False,12.3,False,False,Sin privada,domestico,2023-01-16,True,True,2024-04-01,2024,4,
T16385BC409,2024-04,2024-04-22,2024-05-12,2024-06-28,True,10.1,154.15,15.41,0.0,169.56,False,domestico,1.0,2024-04-20,208.0,218.1,True,False,10.1,False,False,Los Encinos,domestico,2022-01-30,True,False,2024-04-01,2024,4,47.0
T703E749B16,2024-04,2024-04-29,2024-05-19,2024-05-04,True,13.2,189.8,18.98,22.78,231.56,False,domestico,0.0,2024-04-25,656.0,669.2,True,False,13.2,False,False,Sin privada,domestico,2019-12-11,True,True,2024-04-01,2024,4,-15.0
TE03815B898,2024-04,2024-04-26,2024-05-16,2024-05-21,True,25.1,326.65,32.67,0.0,359.32,False,domestico,1.0,2024-04-21,1369.0,1394.1,True,False,25.1,False,False,El Pedregal,domestico,2023-06-08,True,False,2024-04-01,2024,4,5.0
T5EDC8CD764,2024-04,2024-04-29,2024-05-19,2024-06-09,True,12.8,185.2,18.52,0.0,203.72,False,domestico,1.0,2024-04-24,1017.0,1029.8,True,False,12.8,False,False,La Cañada,domestico,2019-05-18,True,False,2024-04-01,2024,4,21.0
T8A0E42EA46,2024-04,2024-04-24,2024-05-14,2024-04-29,True,13.6,194.4,19.44,0.0,213.84,True,domestico,0.0,2024-04-21,1130.0,1143.6,True,False,13.6,False,False,El Pedregal,domestico,2024-03-06,True,False,2024-04-01,2024,4,-15.0
T58E4665FE8,2024-04,2024-04-30,2024-05-20,2024-05-03,True,24.7,322.05,32.21,38.65,392.9,False,domestico,0.0,2024-04-25,226.0,250.7,True,False,24.7,False,False,El Pedregal,domestico,2022-05-21,True,True,2024-04-01,2024,4,-17.0
T45A3829C6C,2024-04,2024-04-28,2024-05-18,2024-05-08,True,16.6,228.9,22.89,27.47,279.26,False,domestico,0.0,2024-04-23,159.0,175.6,True,False,16.6,False,False,Villa Serena,domestico,2021-02-22,True,True,2024-04-01,2024,4,-10.0
T0F2B41D96D,2024-04,2024-04-28,2024-05-18,2024-05-03,True,35.0,760.0,76.0,91.2,927.2,False,comercial,0.0,2024-04-24,33.0,68.0,True,False,35.0,False,False,Sin privada,comercial,2020-02-01,True,True,2024-04-01,2024,4,-15.0
