periodo,tipo_tarifa,consumo_m3,importe_agua
2026-T2,beneficencia,59,1783.01
2026-T2,comercial,0,285.14
2026-T2,comercial,1,323.8
2026-T2,comercial,2,363.99
2026-T2,comercial,3,405.71
2026-T2,comercial,4,448.96
2026-T2,comercial,5,496.87
2026-T2,comercial,6,547.7
2026-T2,comercial,7,599.42
2026-T2,comercial,8,645.33
2026-T2,comercial,9,721.79
2026-T2,comercial,10,773.45
2026-T2,comercial,11,826.13
2026-T2,comercial,12,879.83
2026-T2,comercial,13,943.52
2026-T2,comercial,14,999.79
2026-T2,comercial,15,1057.07
2026-T2,comercial,16,1115.38
2026-T2,comercial,17,1180.31
2026-T2,comercial,18,1240.96
2026-T2,comercial,19,1302.64
2026-T2,comercial,20,1365.34
2026-T2,comercial,21,1433.15
2026-T2,comercial,22,1504.91
2026-T2,comercial,23,1578.33
2026-T2,comercial,24,1653.4
2026-T2,comercial,25,1736.66
2026-T2,comercial,26,1815.34
2026-T2,comercial,27,1895.65
2026-T2,comercial,28,1977.64
2026-T2,comercial,29,2067.12
2026-T2,comercial,30,2152.66
2026-T2,comercial,31,2261.83
2026-T2,comercial,32,2351.57
2026-T2,comercial,33,2449.87
2026-T2,comercial,34,2543.24
2026-T2,comercial,35,2638.29
2026-T2,comercial,36,2735.02
2026-T2,comercial,37,2844.04
2026-T2,comercial,38,2944.52
2026-T2,comercial,39,3046.69
2026-T2,comercial,40,3150.54
2026-T2,comercial,41,3265.21
2026-T2,comercial,42,3390.54
2026-T2,comercial,43,3518.42
2026-T2,comercial,44,3648.84
2026-T2,comercial,45,3792.35
2026-T2,comercial,46,3928.24
2026-T2,comercial,47,4066.67
2026-T2,comercial,48,4207.66
2026-T2,comercial,49,4367.34
2026-T2,comercial,50,4513.97
2026-T2,comercial,51,4708.43
2026-T2,comercial,52,4861.65
2026-T2,comercial,53,5031.36
2026-T2,comercial,54,5190.19
2026-T2,comercial,55,5351.6
2026-T2,comercial,56,5515.61
2026-T2,comercial,57,5697.92
2026-T2,comercial,58,5867.58
2026-T2,comercial,59,6039.85
2026-T2,domestico_alto,0,283.23
2026-T2,domestico_alto,1,299.88
2026-T2,domestico_alto,2,317.08
2026-T2,domestico_alto,3,334.86
2026-T2,domestico_alto,4,353.25
2026-T2,domestico_alto,5,372.27
2026-T2,domestico_alto,6,391.95
2026-T2,domestico_alto,7,413.53
2026-T2,domestico_alto,8,435.56
2026-T2,domestico_alto,9,476.87
2026-T2,domestico_alto,10,501.79
2026-T2,domestico_alto,11,525.99
2026-T2,domestico_alto,12,550.93
2026-T2,domestico_alto,13,582.18
2026-T2,domestico_alto,14,608.87
2026-T2,domestico_alto,15,636.42
2026-T2,domestico_alto,16,663.0
2026-T2,domestico_alto,17,693.48
2026-T2,domestico_alto,18,721.41
2026-T2,domestico_alto,19,749.94
2026-T2,domestico_alto,20,779.14
2026-T2,domestico_alto,21,811.29
2026-T2,domestico_alto,22,841.89
2026-T2,domestico_alto,23,873.39
2026-T2,domestico_alto,24,928.93
2026-T2,domestico_alto,25,990.76
2026-T2,domestico_alto,26,1051.62
2026-T2,domestico_alto,27,1115.05
2026-T2,domestico_alto,28,1181.04
2026-T2,domestico_alto,29,1253.12
2026-T2,domestico_alto,30,1324.44
2026-T2,domestico_alto,31,1398.32
2026-T2,domestico_alto,32,1471.34
2026-T2,domestico_alto,33,1540.46
2026-T2,domestico_alto,34,1608.24
2026-T2,domestico_alto,35,1678.93
2026-T2,domestico_alto,36,1752.61
2026-T2,domestico_alto,37,1836.25
2026-T2,domestico_alto,38,1916.53
2026-T2,domestico_alto,39,2000.13
2026-T2,domestico_alto,40,2087.12
2026-T2,domestico_alto,41,2181.93
2026-T2,domestico_alto,42,2250.4
2026-T2,domestico_alto,43,2319.95
2026-T2,domestico_alto,44,2390.56
2026-T2,domestico_alto,45,2469.14
2026-T2,domestico_alto,46,2542.11
2026-T2,domestico_alto,47,2616.17
2026-T2,domestico_alto,48,2691.32
2026-T2,domestico_alto,49,2777.82
2026-T2,domestico_alto,50,2855.43
2026-T2,domestico_alto,51,3182.48
2026-T2,domestico_alto,52,3267.12
2026-T2,domestico_alto,53,3362.15
2026-T2,domestico_alto,54,3449.21
2026-T2,domestico_alto,55,3513.38
2026-T2,domestico_alto,56,3583.88
2026-T2,domestico_alto,57,3664.92
2026-T2,domestico_alto,58,3736.48
2026-T2,domestico_alto,59,3808.48
2026-T2,domestico_apoyo,0,50.21
2026-T2,domestico_apoyo,1,60.96
2026-T2,domestico_apoyo,2,71.9
2026-T2,domestico_apoyo,3,83.05
2026-T2,domestico_apoyo,4,94.4
2026-T2,domestico_apoyo,5,105.95
2026-T2,domestico_apoyo,6,117.69
2026-T2,domestico_apoyo,7,129.64
2026-T2,domestico_apoyo,8,141.8
2026-T2,domestico_apoyo,9,160.31
2026-T2,domestico_apoyo,10,173.37
2026-T2,domestico_apoyo,11,186.64
2026-T2,domestico_apoyo,12,200.1
2026-T2,domestico_apoyo,13,215.85
2026-T2,domestico_apoyo,14,229.86
2026-T2,domestico_apoyo,15,244.1
2026-T2,domestico_apoyo,16,258.55
2026-T2,domestico_apoyo,17,274.5
2026-T2,domestico_apoyo,18,289.45
2026-T2,domestico_apoyo,19,304.59
2026-T2,domestico_apoyo,20,319.95
2026-T2,domestico_apoyo,21,365.49
2026-T2,domestico_apoyo,22,389.71
2026-T2,domestico_apoyo,23,414.78
2026-T2,domestico_apoyo,24,440.7
2026-T2,domestico_apoyo,25,469.26
2026-T2,domestico_apoyo,26,496.98
2026-T2,domestico_apoyo,27,525.56
2026-T2,domestico_apoyo,28,555.0
2026-T2,domestico_apoyo,29,586.93
2026-T2,domestico_apoyo,30,618.17
2026-T2,domestico_apoyo,31,650.25
2026-T2,domestico_apoyo,32,676.35
2026-T2,domestico_apoyo,33,704.85
2026-T2,domestico_apoyo,34,731.88
2026-T2,domestico_apoyo,35,759.33
2026-T2,domestico_apoyo,36,787.21
2026-T2,domestico_apoyo,37,818.59
2026-T2,domestico_apoyo,38,847.43
2026-T2,domestico_apoyo,39,876.72
2026-T2,domestico_apoyo,40,906.43
2026-T2,domestico_apoyo,41,939.2
2026-T2,domestico_apoyo,42,969.85
2026-T2,domestico_apoyo,43,1000.94
2026-T2,domestico_apoyo,44,1032.46
2026-T2,domestico_apoyo,45,1067.39
2026-T2,domestico_apoyo,46,1099.87
2026-T2,domestico_apoyo,47,1132.78
2026-T2,domestico_apoyo,48,1166.12
2026-T2,domestico_apoyo,49,1204.35
2026-T2,domestico_apoyo,50,1238.68
2026-T2,domestico_apoyo,51,1273.45
2026-T2,domestico_apoyo,52,1308.66
2026-T2,domestico_apoyo,53,1348.03
2026-T2,domestico_apoyo,54,1384.2
2026-T2,domestico_apoyo,55,1420.81
2026-T2,domestico_apoyo,56,1457.85
2026-T2,domestico_apoyo,57,1499.46
2026-T2,domestico_apoyo,58,1575.52
2026-T2,domestico_apoyo,59,1633.97
2026-T2,domestico_economico,0,67.88
2026-T2,domestico_economico,1,84.53
2026-T2,domestico_economico,2,101.73
2026-T2,domestico_economico,3,119.51
2026-T2,domestico_economico,4,137.9
2026-T2,domestico_economico,5,156.92
2026-T2,domestico_economico,6,176.6
2026-T2,domestico_economico,7,198.19
2026-T2,domestico_economico,8,220.21
2026-T2,domestico_economico,9,252.91
2026-T2,domestico_economico,10,277.82
2026-T2,domestico_economico,11,302.03
2026-T2,domestico_economico,12,326.97
2026-T2,domestico_economico,13,356.05
2026-T2,domestico_economico,14,382.76
2026-T2,domestico_economico,15,410.29
2026-T2,domestico_economico,16,436.89
2026-T2,domestico_economico,17,466.28
2026-T2,domestico_economico,18,494.21
2026-T2,domestico_economico,19,522.75
2026-T2,domestico_economico,20,551.95
2026-T2,domestico_economico,21,583.46
2026-T2,domestico_economico,22,614.06
2026-T2,domestico_economico,23,645.55
2026-T2,domestico_economico,24,701.09
2026-T2,domestico_economico,25,762.06
2026-T2,domestico_economico,26,822.91
2026-T2,domestico_economico,27,886.34
2026-T2,domestico_economico,28,952.34
2026-T2,domestico_economico,29,1023.77
2026-T2,domestico_economico,30,1095.09
2026-T2,domestico_economico,31,1168.97
2026-T2,domestico_economico,32,1242.0
2026-T2,domestico_economico,33,1310.47
2026-T2,domestico_economico,34,1378.25
2026-T2,domestico_economico,35,1448.93
2026-T2,domestico_economico,36,1522.61
2026-T2,domestico_economico,37,1605.39
2026-T2,domestico_economico,38,1685.67
2026-T2,domestico_economico,39,1769.28
2026-T2,domestico_economico,40,1856.27
2026-T2,domestico_economico,41,1950.44
2026-T2,domestico_economico,42,2018.9
2026-T2,domestico_economico,43,2088.44
2026-T2,domestico_economico,44,2159.07
2026-T2,domestico_economico,45,2237.0
2026-T2,domestico_economico,46,2309.95
2026-T2,domestico_economico,47,2384.03
2026-T2,domestico_economico,48,2459.18
2026-T2,domestico_economico,49,2544.82
2026-T2,domestico_economico,50,2622.42
2026-T2,domestico_economico,51,2949.48
2026-T2,domestico_economico,52,3034.12
2026-T2,domestico_economico,53,3128.49
2026-T2,domestico_economico,54,3215.55
2026-T2,domestico_economico,55,3279.73
2026-T2,domestico_economico,56,3350.23
2026-T2,domestico_economico,57,3430.62
2026-T2,domestico_economico,58,3502.18
2026-T2,domestico_economico,59,3574.19
2026-T2,domestico_medio,0,225.82
2026-T2,domestico_medio,1,242.47
2026-T2,domestico_medio,2,259.67
2026-T2,domestico_medio,3,277.45
2026-T2,domestico_medio,4,295.84
2026-T2,domestico_medio,5,314.86
2026-T2,domestico_medio,6,334.54
2026-T2,domestico_medio,7,356.12
2026-T2,domestico_medio,8,378.14
2026-T2,domestico_medio,9,417.16
2026-T2,domestico_medio,10,442.07
2026-T2,domestico_medio,11,466.28
2026-T2,domestico_medio,12,491.23
2026-T2,domestico_medio,13,521.89
2026-T2,domestico_medio,14,548.6
2026-T2,domestico_medio,15,576.13
2026-T2,domestico_medio,16,602.72
2026-T2,domestico_medio,17,632.9
2026-T2,domestico_medio,18,660.83
2026-T2,domestico_medio,19,689.37
2026-T2,domestico_medio,20,718.57
2026-T2,domestico_medio,21,750.56
2026-T2,domestico_medio,22,781.16
2026-T2,domestico_medio,23,812.64
2026-T2,domestico_medio,24,868.19
2026-T2,domestico_medio,25,929.79
2026-T2,domestico_medio,26,990.64
2026-T2,domestico_medio,27,1054.08
2026-T2,domestico_medio,28,1120.07
2026-T2,domestico_medio,29,1191.99
2026-T2,domestico_medio,30,1263.29
2026-T2,domestico_medio,31,1337.17
2026-T2,domestico_medio,32,1410.2
2026-T2,domestico_medio,33,1479.15
2026-T2,domestico_medio,34,1546.93
2026-T2,domestico_medio,35,1617.6
2026-T2,domestico_medio,36,1691.28
2026-T2,domestico_medio,37,1774.7
2026-T2,domestico_medio,38,1854.98
2026-T2,domestico_medio,39,1938.59
2026-T2,domestico_medio,40,2025.57
2026-T2,domestico_medio,41,2120.22
2026-T2,domestico_medio,42,2188.68
2026-T2,domestico_medio,43,2258.22
2026-T2,domestico_medio,44,2328.85
2026-T2,domestico_medio,45,2407.25
2026-T2,domestico_medio,46,2480.21
2026-T2,domestico_medio,47,2554.28
2026-T2,domestico_medio,48,2629.43
2026-T2,domestico_medio,49,2715.7
2026-T2,domestico_medio,50,2793.31
2026-T2,domestico_medio,51,3120.37
2026-T2,domestico_medio,52,3205.01
2026-T2,domestico_medio,53,3299.86
2026-T2,domestico_medio,54,3386.91
2026-T2,domestico_medio,55,3451.1
2026-T2,domestico_medio,56,3521.59
2026-T2,domestico_medio,57,3602.45
2026-T2,domestico_medio,58,3674.02
2026-T2,domestico_medio,59,3746.02
2026-T2,domestico_rural,0,41.17
2026-T2,domestico_rural,1,50.5
2026-T2,domestico_rural,2,59.88
2026-T2,domestico_rural,3,69.34
2026-T2,domestico_rural,4,78.84
2026-T2,domestico_rural,5,88.41
2026-T2,domestico_rural,6,98.02
2026-T2,domestico_rural,7,108.25
2026-T2,domestico_rural,8,119.21
2026-T2,domestico_rural,9,135.66
2026-T2,domestico_rural,10,147.6
2026-T2,domestico_rural,11,159.04
2026-T2,domestico_rural,12,170.92
2026-T2,domestico_rural,13,184.82
2026-T2,domestico_rural,14,197.3
2026-T2,domestico_rural,15,210.05
2026-T2,domestico_rural,16,223.05
2026-T2,domestico_rural,17,237.41
2026-T2,domestico_rural,18,250.98
2026-T2,domestico_rural,19,264.8
2026-T2,domestico_rural,20,278.88
2026-T2,domestico_rural,21,294.04
2026-T2,domestico_rural,22,308.44
2026-T2,domestico_rural,23,323.06
2026-T2,domestico_rural,24,337.92
2026-T2,domestico_rural,25,354.34
2026-T2,domestico_rural,26,369.71
2026-T2,domestico_rural,27,385.32
2026-T2,domestico_rural,28,401.18
2026-T2,domestico_rural,29,418.41
2026-T2,domestico_rural,30,434.78
2026-T2,domestico_rural,31,451.36
2026-T2,domestico_rural,32,468.19
2026-T2,domestico_rural,33,486.6
2026-T2,domestico_rural,34,503.95
2026-T2,domestico_rural,35,521.51
2026-T2,domestico_rural,36,539.31
2026-T2,domestico_rural,37,559.44
2026-T2,domestico_rural,38,586.71
2026-T2,domestico_rural,39,614.66
2026-T2,domestico_rural,40,643.35
2026-T2,domestico_rural,41,674.61
2026-T2,domestico_rural,42,699.83
2026-T2,domestico_rural,43,725.52
2026-T2,domestico_rural,44,751.69
2026-T2,domestico_rural,45,780.49
2026-T2,domestico_rural,46,807.67
2026-T2,domestico_rural,47,835.32
2026-T2,domestico_rural,48,863.45
2026-T2,domestico_rural,49,895.36
2026-T2,domestico_rural,50,924.53
2026-T2,domestico_rural,51,954.18
2026-T2,domestico_rural,52,1033.62
2026-T2,domestico_rural,53,1118.49
2026-T2,domestico_rural,54,1202.9
2026-T2,domestico_rural,55,1289.68
2026-T2,domestico_rural,56,1378.83
2026-T2,domestico_rural,57,1474.43
2026-T2,domestico_rural,58,1568.59
2026-T2,domestico_rural,59,1665.15
2026-T2,industrial,0,386.49
2026-T2,industrial,1,436.54
2026-T2,industrial,2,488.15
2026-T2,industrial,3,541.32
2026-T2,industrial,4,596.06
2026-T2,industrial,5,652.35
2026-T2,industrial,6,710.21
2026-T2,industrial,7,767.58
2026-T2,industrial,8,825.92
2026-T2,industrial,9,920.65
2026-T2,industrial,10,983.36
2026-T2,industrial,11,1047.09
2026-T2,industrial,12,1111.83
2026-T2,industrial,13,1188.9
2026-T2,industrial,14,1256.31
2026-T2,industrial,15,1333.76
2026-T2,industrial,16,1403.89
2026-T2,industrial,17,1482.1
2026-T2,industrial,18,1554.65
2026-T2,industrial,19,1628.24
2026-T2,industrial,20,1702.88
2026-T2,industrial,21,1783.61
2026-T2,industrial,22,1865.14
2026-T2,industrial,23,1948.11
2026-T2,industrial,24,2032.55
2026-T2,industrial,25,2126.46
2026-T2,industrial,26,2214.15
2026-T2,industrial,27,2303.3
2026-T2,industrial,28,2393.92
2026-T2,industrial,29,2493.04
2026-T2,industrial,30,2586.85
2026-T2,industrial,31,2653.02
2026-T2,industrial,32,2756.22
2026-T2,industrial,33,2869.41
2026-T2,industrial,34,2976.8
2026-T2,industrial,35,3086.09
2026-T2,industrial,36,3197.33
2026-T2,industrial,37,3322.89
2026-T2,industrial,38,3438.47
2026-T2,industrial,39,3555.95
2026-T2,industrial,40,3675.37
2026-T2,industrial,41,3807.37
2026-T2,industrial,42,3951.52
2026-T2,industrial,43,4098.58
2026-T2,industrial,44,4248.56
2026-T2,industrial,45,4413.75
2026-T2,industrial,46,4570.03
2026-T2,industrial,47,4729.23
2026-T2,industrial,48,4891.36
2026-T2,industrial,49,5075.17
2026-T2,industrial,50,5243.81
2026-T2,industrial,51,5463.89
2026-T2,industrial,52,5640.08
2026-T2,industrial,53,5835.39
2026-T2,industrial,54,6018.05
2026-T2,industrial,55,6203.68
2026-T2,industrial,56,6392.28
2026-T2,industrial,57,6602.08
2026-T2,industrial,58,6797.19
2026-T2,industrial,59,6995.28
2026-T2,pecuaria,0,73.92
2026-T2,pecuaria,1,89.74
2026-T2,pecuaria,2,105.85
2026-T2,pecuaria,3,122.27
2026-T2,pecuaria,4,138.97
2026-T2,pecuaria,5,155.96
2026-T2,pecuaria,6,173.27
2026-T2,pecuaria,7,190.85
2026-T2,pecuaria,8,208.74
2026-T2,pecuaria,9,236.01
2026-T2,pecuaria,10,255.22
2026-T2,pecuaria,11,274.75
2026-T2,pecuaria,12,294.58
2026-T2,pecuaria,13,317.75
2026-T2,pecuaria,14,338.4
2026-T2,pecuaria,15,359.35
2026-T2,pecuaria,16,380.6
2026-T2,pecuaria,17,404.11
2026-T2,pecuaria,18,426.11
2026-T2,pecuaria,19,448.41
2026-T2,pecuaria,20,471.02
2026-T2,pecuaria,21,538.06
2026-T2,pecuaria,22,573.71
2026-T2,pecuaria,23,610.61
2026-T2,pecuaria,24,648.78
2026-T2,pecuaria,25,690.79
2026-T2,pecuaria,26,731.62
2026-T2,pecuaria,27,773.68
2026-T2,pecuaria,28,817.02
2026-T2,pecuaria,29,864.07
2026-T2,pecuaria,30,910.03
2026-T2,pecuaria,31,957.27
2026-T2,pecuaria,32,995.69
2026-T2,pecuaria,33,1037.64
2026-T2,pecuaria,34,1077.42
2026-T2,pecuaria,35,1117.84
2026-T2,pecuaria,36,1158.89
2026-T2,pecuaria,37,1205.07
2026-T2,pecuaria,38,1247.54
2026-T2,pecuaria,39,1290.65
2026-T2,pecuaria,40,1334.4
2026-T2,pecuaria,41,1382.63
2026-T2,pecuaria,42,1427.76
2026-T2,pecuaria,43,1473.53
2026-T2,pecuaria,44,1519.94
2026-T2,pecuaria,45,1571.34
2026-T2,pecuaria,46,1619.16
2026-T2,pecuaria,47,1667.59
2026-T2,pecuaria,48,1716.67
2026-T2,pecuaria,49,1772.97
2026-T2,pecuaria,50,1823.5
2026-T2,pecuaria,51,1874.69
2026-T2,pecuaria,52,1926.52
2026-T2,pecuaria,53,1984.49
2026-T2,pecuaria,54,2037.73
2026-T2,pecuaria,55,2091.62
2026-T2,pecuaria,56,2146.15
2026-T2,pecuaria,57,2207.42
2026-T2,pecuaria,58,2319.37
2026-T2,pecuaria,59,2405.41
2026-T2,publico_concesionado,0,273.99
2026-T2,publico_concesionado,1,298.43
2026-T2,publico_concesionado,2,324.45
2026-T2,publico_concesionado,3,352.04
2026-T2,publico_concesionado,4,381.21
2026-T2,publico_concesionado,5,411.96
2026-T2,publico_concesionado,6,444.29
2026-T2,publico_concesionado,7,478.19
2026-T2,publico_concesionado,8,513.67
2026-T2,publico_concesionado,9,572.76
2026-T2,publico_concesionado,10,612.94
2026-T2,publico_concesionado,11,654.76
2026-T2,publico_concesionado,12,692.07
2026-T2,publico_concesionado,13,737.02
2026-T2,publico_concesionado,14,775.92
2026-T2,publico_concesionado,15,815.45
2026-T2,publico_concesionado,16,855.61
2026-T2,publico_concesionado,17,900.64
2026-T2,publico_concesionado,18,942.24
2026-T2,publico_concesionado,19,984.45
2026-T2,publico_concesionado,20,1027.29
2026-T2,publico_concesionado,21,1073.8
2026-T2,publico_concesionado,22,1118.1
2026-T2,publico_concesionado,23,1162.85
2026-T2,publico_concesionado,24,1215.81
2026-T2,publico_concesionado,25,1274.83
2026-T2,publico_concesionado,26,1330.52
2026-T2,publico_concesionado,27,1393.11
2026-T2,publico_concesionado,28,1457.37
2026-T2,publico_concesionado,29,1527.62
2026-T2,publico_concesionado,30,1595.42
2026-T2,publico_concesionado,31,1664.91
2026-T2,publico_concesionado,32,1729.35
2026-T2,publico_concesionado,33,1800.12
2026-T2,publico_concesionado,34,1867.28
2026-T2,publico_concesionado,35,1935.69
2026-T2,publico_concesionado,36,2005.37
2026-T2,publico_concesionado,37,2084.1
2026-T2,publico_concesionado,38,2156.57
2026-T2,publico_concesionado,39,2230.31
2026-T2,publico_concesionado,40,2305.33
2026-T2,publico_concesionado,41,2388.27
2026-T2,publico_concesionado,42,2461.59
2026-T2,publico_concesionado,43,2535.97
2026-T2,publico_concesionado,44,2611.4
2026-T2,publico_concesionado,45,2695.4
2026-T2,publico_concesionado,46,2773.17
2026-T2,publico_concesionado,47,2851.99
2026-T2,publico_concesionado,48,2931.89
2026-T2,publico_concesionado,49,3024.03
2026-T2,publico_concesionado,50,3106.35
2026-T2,publico_concesionado,51,3189.74
2026-T2,publico_concesionado,52,3274.2
2026-T2,publico_concesionado,53,3369.04
2026-T2,publico_concesionado,54,3455.87
2026-T2,publico_concesionado,55,3543.76
2026-T2,publico_concesionado,56,3632.74
2026-T2,publico_concesionado,57,3733.07
2026-T2,publico_concesionado,58,3824.42
2026-T2,publico_concesionado,59,3916.85
2026-T2,publico_oficial,0,206.97
2026-T2,publico_oficial,1,229.83
2026-T2,publico_oficial,2,253.09
2026-T2,publico_oficial,3,276.75
2026-T2,publico_oficial,4,300.79
2026-T2,publico_oficial,5,325.23
2026-T2,publico_oficial,6,350.07
2026-T2,publico_oficial,7,375.99
2026-T2,publico_oficial,8,402.5
2026-T2,publico_oficial,9,446.79
2026-T2,publico_oficial,10,475.59
2026-T2,publico_oficial,11,505.01
2026-T2,publico_oficial,12,536.27
2026-T2,publico_oficial,13,573.82
2026-T2,publico_oficial,14,607.04
2026-T2,publico_oficial,15,641.08
2026-T2,publico_oficial,16,675.95
2026-T2,publico_oficial,17,715.05
2026-T2,publico_oficial,18,751.75
2026-T2,publico_oficial,19,789.29
2026-T2,publico_oficial,20,827.65
2026-T2,publico_oficial,21,869.32
2026-T2,publico_oficial,22,923.23
2026-T2,publico_oficial,23,979.22
2026-T2,publico_oficial,24,1037.3
2026-T2,publico_oficial,25,1100.62
2026-T2,publico_oficial,26,1164.1
2026-T2,publico_oficial,27,1228.68
2026-T2,publico_oficial,28,1295.35
2026-T2,publico_oficial,29,1367.98
2026-T2,publico_oficial,30,1439.04
2026-T2,publico_oficial,31,1512.19
2026-T2,publico_oficial,32,1587.44
2026-T2,publico_oficial,33,1669.49
2026-T2,publico_oficial,34,1749.18
2026-T2,publico_oficial,35,1830.96
2026-T2,publico_oficial,36,1914.84
2026-T2,publico_oficial,37,1980.98
2026-T2,publico_oficial,38,2060.64
2026-T2,publico_oficial,39,2142.0
2026-T2,publico_oficial,40,2225.03
2026-T2,publico_oficial,41,2316.23
2026-T2,publico_oficial,42,2389.54
2026-T2,publico_oficial,43,2463.92
2026-T2,publico_oficial,44,2539.36
2026-T2,publico_oficial,45,2623.15
2026-T2,publico_oficial,46,2700.92
2026-T2,publico_oficial,47,2779.75
2026-T2,publico_oficial,48,2859.64
2026-T2,publico_oficial,49,2951.51
2026-T2,publico_oficial,50,3033.84
2026-T2,publico_oficial,51,3117.24
2026-T2,publico_oficial,52,3201.69
2026-T2,publico_oficial,53,3296.32
2026-T2,publico_oficial,54,3383.15
2026-T2,publico_oficial,55,3471.06
2026-T2,publico_oficial,56,3560.03
2026-T2,publico_oficial,57,3660.15
2026-T2,publico_oficial,58,3745.29
2026-T2,publico_oficial,59,3831.29
2026-T3,beneficencia,0,49.77
2026-T3,beneficencia,1,75.67
2026-T3,beneficencia,2,88.45
2026-T3,beneficencia,3,101.51
2026-T3,beneficencia,4,114.89
2026-T3,beneficencia,5,128.59
2026-T3,beneficencia,6,142.58
2026-T3,beneficencia,7,156.88
2026-T3,beneficencia,8,171.51
2026-T3,beneficencia,9,193.85
2026-T3,beneficencia,10,209.71
2026-T3,beneficencia,11,225.86
2026-T3,beneficencia,12,244.28
2026-T3,beneficencia,13,265.83
2026-T3,beneficencia,14,285.7
2026-T3,beneficencia,15,306.2
2026-T3,beneficencia,16,327.36
2026-T3,beneficencia,17,350.82
2026-T3,beneficencia,18,373.37
2026-T3,beneficencia,19,396.59
2026-T3,beneficencia,20,420.42
2026-T3,beneficencia,21,446.2
2026-T3,beneficencia,22,471.41
2026-T3,beneficencia,23,497.28
2026-T3,beneficencia,24,523.81
2026-T3,beneficencia,25,553.07
2026-T3,beneficencia,26,581.0
2026-T3,beneficencia,27,609.58
2026-T3,beneficencia,28,638.82
2026-T3,beneficencia,29,670.59
2026-T3,beneficencia,30,701.22
2026-T3,beneficencia,31,732.52
2026-T3,beneficencia,32,764.45
2026-T3,beneficencia,33,799.31
2026-T3,beneficencia,34,832.64
2026-T3,beneficencia,35,866.64
2026-T3,beneficencia,36,901.29
2026-T3,beneficencia,37,940.13
2026-T3,beneficencia,38,976.23
2026-T3,beneficencia,39,1013.0
2026-T3,beneficencia,40,1050.44
2026-T3,beneficencia,41,1091.56
2026-T3,beneficencia,42,1130.41
2026-T3,beneficencia,43,1169.91
2026-T3,beneficencia,44,1210.08
2026-T3,beneficencia,45,1254.43
2026-T3,beneficencia,46,1296.04
2026-T3,beneficencia,47,1333.6
2026-T3,beneficencia,48,1371.15
2026-T3,beneficencia,49,1413.94
2026-T3,beneficencia,50,1451.63
2026-T3,beneficencia,51,1489.33
2026-T3,beneficencia,52,1527.03
2026-T3,beneficencia,53,1569.06
2026-T3,beneficencia,54,1606.87
2026-T3,beneficencia,55,1644.66
2026-T3,beneficencia,56,1682.47
2026-T3,beneficencia,57,1725.02
2026-T3,beneficencia,58,1762.93
2026-T3,beneficencia,59,1800.84
2026-T3,comercial,0,287.99
2026-T3,comercial,1,327.04
2026-T3,comercial,2,367.63
2026-T3,comercial,3,409.76
2026-T3,comercial,4,453.45
2026-T3,comercial,5,501.83
2026-T3,comercial,6,553.17
2026-T3,comercial,7,605.41
2026-T3,comercial,8,651.78
2026-T3,comercial,9,729.0
2026-T3,comercial,10,781.18
2026-T3,comercial,11,834.39
2026-T3,comercial,12,888.63
2026-T3,comercial,13,952.96
2026-T3,comercial,14,1009.79
2026-T3,comercial,15,1067.64
